Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Nicholas H Brummell	2021 Winter Quarter	2210	N	10	79	81	29	20	8	8	7		1	3		5	2	1						254
AM 11A	Math Methd for Econ	Bruno Silva Mendes	2021 Winter Quarter	2210	Y		3	14	28	3	8		5			6			1	1						69
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2021 Winter Quarter	2210	Y	14	34	4	9	33	2	10	6	4		5		5	9	1				2		138
AM 20	Math Methods II	Jonathan Rice Katznelson	2021 Winter Quarter	2210	N	6	8	9	15	27	14	21	35	8		8		8	3	7				2		171
AM 147	Comp Methods & App	Abhishek Halder	2021 Winter Quarter	2210	N	17	23	15	22	9	4	5	3					4	15	4				3		124
AM 212A	Applied PDEs	Marcella Gomez	2021 Winter Quarter	2210	Y	6	4	2	2	1			1					1			1					18
AM 213A	Numerical Linear Alg	Dongwook Lee	2021 Winter Quarter	2210	N	9	1	1		2	1		1			1		5		1		2				24
AM 230	Numerical Optimiz	Qi Gong	2021 Winter Quarter	2210	N		4	2					2								8					16
ANTH 3	Intro Archaeology	Jon D Daehnke	2021 Winter Quarter	2210	N	59	55	63	21	13	10	7	2	2	1	1	2	4	4	2				1		247
ANTH 97	Lab Safety Practice	Viktoria Oelze	2021 Winter Quarter	2210	N		2											1	5	3						11
ANTH 107B	Stable Isotope Lab	Viktoria Oelze	2021 Winter Quarter	2210	N		6	6	1		1													1		15
ANTH 110S	Evolution/Democracy	Alejandra Letelier Kramer	2021 Winter Quarter	2210	N	4	26	4	2	9	1	2	3			1		2	7	3				1		65
ANTH 110W	Land & Waterscapes	Guillermo Delgado-P	2021 Winter Quarter	2210	N		26	7	1									1	1	1				6		43
ANTH 125	Magic,Sci,Religion	Annapurna Devi Pandey	2021 Winter Quarter	2210	N	4	3	11	9	5	8	6	3					1	6	2				6		64
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2021 Winter Quarter	2210	N	1		8	6	1	2								10					2		30
ANTH 130O	Native Feminisms	Renya K Ramirez	2021 Winter Quarter	2210	N	2	31	4	5	3	2							1	1							49
ANTH 134	Intro Medical Anthro	Nancy N Chen	2021 Winter Quarter	2210	N		40	8	6	3	2							2	2					3		66
ANTH 147	Anthropocene	Anna L Tsing	2021 Winter Quarter	2210	N		13	17	14	5	2							1	1	1						54
ANTH 152	CulturalAnthTheory	Andrew S. Mathews	2021 Winter Quarter	2210	Y	3	11	21	7	4	1		1	2				3	7					4		64
ANTH 171	Mat/Methods His Arch	David Allen Ingleman	2021 Winter Quarter	2210	N	2	1	5	4		1				1			1		2						17
ANTH 176A	No American Archlgy	Judith A Habicht Mauche	2021 Winter Quarter	2210	N	6	8	7	9	7	1	2	1	1				2	3					2		49
