Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Abram Kay Stout Rodgers	2021 Spring Quarter	2212	N	4	90	41	20	25	11	15	14			7		5	1	6				1		240
AM 11A	Math Methd for Econ	Bruno Silva Mendes	2021 Spring Quarter	2212	Y		2	5	13	2			1			2		1	2							28
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2021 Spring Quarter	2212	Y	2	12	15	7	15	6	13	15	4		6		11	6	9				3		124
AM 20	Math Methods II	Qi Gong	2021 Spring Quarter	2212	N	8	14	19	23	24	15	20	19					1	1	3	1			3		151
AM 30	SOE Calculus III	Jonathan Rice Katznelson	2021 Spring Quarter	2212	N	2	9	7	10	17	5	9	3	2		2		2		1				1		70
AM 213B	Num Mthds Diff Eq	Hongyun Wang	2021 Spring Quarter	2212	N	4	9	2										1			1					17
AM 250	Intro High Perf Comp	Nicholas H Brummell	2021 Spring Quarter	2212	N	5	9			1			1								1					17
ANTH 2	Intr Culturl Anthro	Melissa L Caldwell	2021 Spring Quarter	2212	N		91	40	64	43	4	2	4	1	1	5		7	22	7				7		298
ANTH 101	Human Evolution	Emily A Schach	2021 Spring Quarter	2212	N	2	30		7	18		1	4						5	1				1		69
ANTH 106	Primate Behavior	Viktoria Oelze	2021 Spring Quarter	2212	N	25	20	19	4	5		2	1				2	1	6							85
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2021 Spring Quarter	2212	N	3	8	6	1	4			2						1	1				2		28
ANTH 110J	Emerging Humanity	David Allen Ingleman	2021 Spring Quarter	2212	N	16	7	7	1	4		2		1				4	3					1		46
ANTH 110Y	Feeding California	Brian Walter	2021 Spring Quarter	2212	N	3	7	4	3	2	2	2	1					1	8					1		34
ANTH 138	Political Anthro	April Lucille Reber	2021 Spring Quarter	2212	Y	6	9	1		4	1		3		1			5		3						33
ANTH 151	Ethnography Wrkshop	Alejandra Letelier Kramer	2021 Spring Quarter	2212	N	6	15	2	1	2		1						1		1				1		30
ANTH 170	His Archaeol Theory	Tsim D Schneider	2021 Spring Quarter	2212	N	4	5		2	5									1	2						19
ANTH 176F	Cal Archaeology	Tsim D Schneider	2021 Spring Quarter	2212	N	17	17		7	7		1	3						2					1		55
ANTH 177	Environmental Arch	Erendira M Quintana Morales	2021 Spring Quarter	2212	N		27	7	2	2	2		2			1		5	1							49
ANTH 179	Slavery in Atlantic	Gregory O'Malley; James C Monroe	2021 Spring Quarter	2212	Y	1	2	5	6	4	3		2		2			1	7	1	1					35
ANTH 180	Ceramic Analysis	Judith A Habicht Mauche	2021 Spring Quarter	2212	Y		1	4	3	1									1					1		11
ANTH 194V	Who Owns the Past?	Erendira M Quintana Morales	2021 Spring Quarter	2212	N		12			3		1														16
ANTH 196K	Settler Colonialism	Renya K Ramirez	2021 Spring Quarter	2212	N		16		1	1																18
ANTH 196Q	Property	Mark D Anderson	2021 Spring Quarter	2212	N	1	5	3	3	3									1							16
APLX 115	Language and Power	Julia Swan	2021 Spring Quarter	2212	N		7	2	3	3			2	1				3		1						22
APLX 135	Second Lang Teach	Donald Patrick Miller	2021 Spring Quarter	2212	N	3	7	5	3	2	1									1						22
APLX 136	L2 Assessment	Zsuzsanna Abrams	2021 Spring Quarter	2212	N	1	6	4		1								1	1							14
APLX 190	Research Sem APLX	Donald Patrick Miller	2021 Spring Quarter	2212	N	1	9	3	2	3	1								1							20
ARBC 3	Arabic: First Year	Abdelkader Berrahmoun	2021 Spring Quarter	2212	N		7												1		4					12
ART 10F	4D Foundation	Kristen Ling Gillette	2021 Spring Quarter	2212	N	19	67	14	10	12	3	3	3			1		6	12	4				7		161
ART 20G	Intro Print/Draw	Enrique Martinez Leal	2021 Spring Quarter	2212	N	2	2	5	4	7			1	1										2		24
ART 20I	Intro Photography	Kathleen Chris Perry	2021 Spring Quarter	2212	N		3	10	3	3										1				1		21
ART 20J	Intro Draw/Paint	Melissa Gwyn	2021 Spring Quarter	2212	N		12	3																		15
