Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
ARTG 20	Games as Art	dani wright	2024 Winter Quarter	2240	N	43	35	4	3	4			1					8	1	2				1		102
ARTG 40	Designing Experiences	Elizabeth A Swensen	2024 Winter Quarter	2240	N	32	7	2		1																42
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2024 Winter Quarter	2240	N	38	64	16	4	5		2	4					10	7	6				4		160
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2024 Winter Quarter	2240	N	9	41	4	4	1	1	3	1					3	3	2				2		74
ARTG 129	Spec Topic Game Des	dani wright	2024 Winter Quarter	2240	N	15	5	3	2		1		1						2							29
ARTG 134	Spectacular Play	Patrick Michael Ballard	2024 Winter Quarter	2240	N	14	17		1	2		1				1			1							37
ARTG 171	Game Design II	Tamara Madeleine Duplantis	2024 Winter Quarter	2240	N	16	114		7	5		3	3					2	3	2						155
ARTG 180	Personal Narrative	mattie brice	2024 Winter Quarter	2240	N		13	1	1		3															18
ARTG 181	Portfolio	dani wright	2024 Winter Quarter	2240	N	40				1			1													42
ASTR 2	Overview Universe	Alexandra Mannings	2024 Winter Quarter	2240	N	41	21		15	6		4	6	3	1			1	18					2		118
ASTR 9A	Intro Research Phys	Ruth Murray-Clay	2024 Winter Quarter	2240	Y		27	1		3								1								32
ASTR 19	Practical Programming	Artem Aguichine	2024 Winter Quarter	2240	N	9	15	9	2	2	2		1	3				2	1	2				2		50
ASTR 21	The Diverse Universe	Jonathan J Fortney; Puragra Guha Thakurta	2024 Winter Quarter	2240	N		7	1	4	2	2	1														17
ASTR 118	Planetary Systems	Ruth Murray-Clay	2024 Winter Quarter	2240	N		7	7	5	1	2			1						1						24
ASTR 119	Intro Sci Computing	Kevin A Bundy	2024 Winter Quarter	2240	N	8	7		1	6	1		6	1			2	1		1	1					35
ASTR 202	Astrophysics I	Brant Edward Robertson	2024 Winter Quarter	2240	N	6				2						1							1			10
ASTR 233	Galaxies & Cosmology I	Piero Madau	2024 Winter Quarter	2240	N		8			5			1								1					15
BIOC 100B	Biochemistry	Michael D Stone	2024 Winter Quarter	2240	N	12	30	28	13	17	7	4	3			3		2								119
BIOC 163A	Quantum Mech/Spec BMB	William G Scott	2024 Winter Quarter	2240	N	3	7	5	3	6	5		10					1						1		41
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2024 Winter Quarter	2240	N		6	36	24	46	46	25	39		1	2	3	5						1		234
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2024 Winter Quarter	2240	N	4	25	50	23	62	28	17	31		6	2		12	6	2						268
BIOE 20F	Field Biology Practice	Abraham Borker	2024 Winter Quarter	2240	N	4	5	4		2		1	2					1						2		21
BIOE 20F	Field Biology Practice	Abraham Borker	2024 Winter Quarter	2240	N	3	7	4	1	2		1	2						2							22
BIOE 20F	Field Biology Practice	Abraham Borker	2024 Winter Quarter	2240	N	4	9	1		1			2						1		1					19
BIOE 82	Intro Field Res/Con	Sean Bryant Reilly	2024 Winter Quarter	2240	N		17			4																21
BIOE 107	Ecology	Bruce E Lyon	2024 Winter Quarter	2240	N	9	8	14	11	16	3	11	25			9				1				1		108
BIOE 108	Marine Ecology	Mark H Carr	2024 Winter Quarter	2240	N	6	8	9	8	26	6	8	14			3		2						1		91
BIOE 109	Evolution	Joanna Lynne Kelley	2024 Winter Quarter	2240	N	6	77	21	17	17	2	5	3	1		1		2		1						153
BIOE 117	Botany Flower Plnts	Kathleen M Kay	2024 Winter Quarter	2240	N	8	17	6	6	9		2	1			1										50
BIOE 117L	Systemtc Botany Lab	Kathleen M Kay	2024 Winter Quarter	2240	N	4	2	4	3	8		1	2													24
BIOE 117L	Systemtc Botany Lab	Kathleen M Kay	2024 Winter Quarter	2240	N	1	8	2	3	5	3		3			1										26
BIOE 122	Invertebrat Zoology	Baldo Branimir Marinovic	2024 Winter Quarter	2240	N	3	12	23	13	26	9	4	3					2	1	1				1		98
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2024 Winter Quarter	2240	N	1	9	7	3	3	1															24
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2024 Winter Quarter	2240	N	2	7	9	3	2	1							1								25
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2024 Winter Quarter	2240	N		8	2	4	3	2		2					1		1				1		24
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2024 Winter Quarter	2240	N	2	9	3	1	7	1	1	1													25
BIOE 131	Animal Physiology	Rita Mehta	2024 Winter Quarter	2240	N		40	37	10	14	7		1													109
BIOE 131L	Animal Physiolo Lab	Rita Mehta	2024 Winter Quarter	2240	N		27	1							1		1									30
BIOE 131L	Animal Physiolo Lab	Rita Mehta	2024 Winter Quarter	2240	N		24			1		1														26
BIOE 131L	Animal Physiolo Lab	Rita Mehta	2024 Winter Quarter	2240	N		14			3																17
BIOE 137	Molecular Eco	Rachel Meyer	2024 Winter Quarter	2240	N	9	14	4	3	2	1			1				1								35
BIOE 137L	Molecular Eco Lab	Rachel Meyer	2024 Winter Quarter	2240	N	13	16			4	1							1								35
BIOE 140	Behavioral Ecology	Ari E Martinez	2024 Winter Quarter	2240	N		20	13	12	25	8	4	3	1				1	2							89
BIOE 165	Marine Conserv Bio	Donald A Croll	2024 Winter Quarter	2240	N	17	23	11	3	7		1	1					1	1							65
BIOE 172	Population Genetics	Omar Cornejo	2024 Winter Quarter	2240	N		11	4	4	6	2	1	2	1					1							32
BIOL 20A	Cell & Molecular Bi	Melissa S Jurica	2024 Winter Quarter	2240	N	15	21	15	17	25	18	18	37	18		23		23	3	6				5		244
BIOL 20L	Experimental Lab	James A Shanks	2024 Winter Quarter	2240	N	11	47	35	33	25	12	6	8			1										178
BIOL 100	Biochemistry	Jeremy C Lee	2024 Winter Quarter	2240	N	5	4	7	6	6	5	8	20	3		2		3		4						73
BIOL 101L	Molecular Bio Lab	Michael Jake Doody	2024 Winter Quarter	2240	N	1	29	9	4	1	1	3	1					1						1		51
BIOL 102L	Toxic RNA Lab II	Jeremy R Sanford	2024 Winter Quarter	2240	N	1	26			1																28
BIOL 105	Genetics	Rohinton T Kamakaka	2024 Winter Quarter	2240	N	18	22	22	31	48	29	29	15					42	1	10				8		275
BIOL 110	Cell Biology	Guido Bordignon	2024 Winter Quarter	2240	N	5	18		14	37		9	18		3	5		4		1				1		115
BIOL 111A	Immunology I	Susan Carpenter	2024 Winter Quarter	2240	N	7	48	1		5										1						62
BIOL 115	Eukaryotc Molec Bio	Hanns Hinrich Boeger	2024 Winter Quarter	2240	N	6	13	6	2	3	6	2	1					3						1		43
BIOL 115L	Eukaryotc Molec Lab	Michael Jake Doody	2024 Winter Quarter	2240	N	1	8	4																1		14
BIOL 118	Human Genetics	Olena Morozova	2024 Winter Quarter	2240	N	5	4	3	8	7	3		4	1		2		2	2	1						42
BIOL 122K	Phage Biology Lab I	James A Shanks	2024 Winter Quarter	2240	N		5	6	3	1	1															16
BIOL 125	Intro to Neurosci	Euiseok Kim	2024 Winter Quarter	2240	N	2	8	2	12	7	3	6	10			4		1	3	2						60
BIOL 126	Neural Plasticity	Yi Zuo	2024 Winter Quarter	2240	Y		9	6	8	8	2	9	5			1		1								49
BIOL 128	Dev Neuro	Bin Chen	2024 Winter Quarter	2240	N		5	7	4	3			5					2	1							27
BIOL 130	Human Physiology	Giulia Jale Gurun Gurun	2024 Winter Quarter	2240	N	1	4	6	6	9	12	6	17			1	2	3	1	1				1		70
BIOL 130L	Human Physiology Lab	Giulia Jale Gurun Gurun	2024 Winter Quarter	2240	N		1	2	2	5	4	12	8			1	1	2						1		39
BIOL 186L	Undergrad Rsrch MCD	Martha C Zuniga	2024 Winter Quarter	2240	Y		5	1	3				1													10
BIOL 189	Health Sci Intrnshp	William Sullivan	2024 Winter Quarter	2240	N	1	4	6	1																	12
BIOL 200F	Logic Sci Discovery	Douglas Kellogg; Upasna Sharma	2024 Winter Quarter	2240	N	8	16																			24
BIOL 289	Practice of Science	Sofie R Salama	2024 Winter Quarter	2240	N		4														28					32
BME 5	Intro to Biotech	Nader Pourmand	2024 Winter Quarter	2240	N	2	2	3	11	3	6	2	1					3	2	1				2		38
BME 22L	BME Molecular Biology1	Dianne G Hendricks	2024 Winter Quarter	2240	N	15	15	1	1																	32
BME 110	Comp Bio Tools	Alexander Ioannidis	2024 Winter Quarter	2240	N	22	19	11	3	3		1														59
BME 122H	Env Virology	David Lee Bernick	2024 Winter Quarter	2240	N	3	6		1		3								3							16
BME 128	Protein Engineering	Hsien-Wei Yeh	2024 Winter Quarter	2240	N	3	11	7	3	8				1					3	1	1					38
BME 129B	Design/Implement BME	Angela Brooks	2024 Winter Quarter	2240	N		17	1		1			1													20
BME 160	ResBioProgramming	David Lee Bernick	2024 Winter Quarter	2240	N	18	46	8	6	5	1	4	3	1				2	1	1				1		97
BME 178	Stem Cell Biology	Camilla E Forsberg	2024 Winter Quarter	2240	Y	3		1	4		1	1							3	1						14
BME 201	Scientific Writing	Joshua M Stuart	2024 Winter Quarter	2240	N	3		1													14					18
BME 230A	Intro Comp Genomics	Benedict John Paten; Joshua M Stuart	2024 Winter Quarter	2240	N	4	4	9	1	3		2	2		1			2			11					39
BME 275	Entrepren in Biotech	Richard Edward E Green	2024 Winter Quarter	2240	Y		5														6					11
CHEM 3A	General Chemistry	Geri Kerstiens	2024 Winter Quarter	2240	N		217	39	37	161	25	20	44	3	6	7	1	13	2	3				5		583
CHEM 3B	General Chemistry	Aura Alegra Eroy-Reveles	2024 Winter Quarter	2240	N		211	36	70	77	39	59	54	10		16		9		10				4		595
CHEM 3BL	General Chemistry Lab	Caileen Marie Brison	2024 Winter Quarter	2240	N	7	239	177	47	45	20	19	16	8	1	2	3	20		5				6		615
CHEM 4B	Advanced Gen Chem	Ilan Benjamin	2024 Winter Quarter	2240	N		3	4	2	15	7	3	9	2		1		2								48
CHEM 4BL	Advanced Gen Chem Lab	Caileen Marie Brison	2024 Winter Quarter	2240	N	2	34	5	4	1	2															48
CHEM 8A	Organic Chemistry	Anne Sizemore	2024 Winter Quarter	2240	N	34	39	16	16	36	14	29	35	16		14		9		6				3		267
CHEM 8B	Organic Chemistry	Rebecca Braslau	2024 Winter Quarter	2240	N	30	45	37	14	25	22	11	38			21		53	2	25				20		343
CHEM 8L	Organic Chem Lab	Catherine Suzanne McCaughey	2024 Winter Quarter	2240	N	5	48	32	17	31	15	11	26	1		7				2				6		201
CHEM 8M	Organic Chem Lab	Catherine Suzanne McCaughey	2024 Winter Quarter	2240	N	11	60	26	14	16	1	1	7	1		4		1	3					2		147
CHEM 151A	Chemistry of Metals	Scott R Oliver	2024 Winter Quarter	2240	N	14	8	6	2	5	7	4	4			2		1								53
CHEM 151L	Inorganic Lab	Scott R Oliver	2024 Winter Quarter	2240	N	25	7	4	5	1			1			1		4		2						50
CHEM 161K	ChemBio Research Lab	Shaun M Mckinnie	2024 Winter Quarter	2240	N		10	1	1																	12
CHEM 163B	Chem Thermodynamics	Shaowei Chen	2024 Winter Quarter	2240	N	3	6	7	7	8	8	8	3	2				1	1							54
CHEM 164	Physical Chem Lab	Yat Li	2024 Winter Quarter	2240	N		2	2	5	3	4	8	5			1		5								35
CHEM 200B	Adv Macro Structr	Sarah Loerch	2024 Winter Quarter	2240	N	3	4						2									1	1			11
CHEM 272	CHEM 272	Laura Margaret Sanchez	2024 Winter Quarter	2240	N	2	5	3		1		1	1								4		1			18
CHIN 2	Chinese: First Year	Elu (I Ju) Tu	2024 Winter Quarter	2240	N		2	1	4	2	1								3		1					14
CHIN 2	Chinese: First Year	Elu (I Ju) Tu	2024 Winter Quarter	2240	N		9	2	1	1	1							1	1							16
CHIN 5	Chinese: Second Year	Ting-Ting Wu	2024 Winter Quarter	2240	N	2	5	2	1	2	2		1					2	2							19
CHIN 104	Chinese: Advanced	Ting-Ting Wu	2024 Winter Quarter	2240	N	2	10	8		2	3	1	2													28
CLNI 85	Global Action	Erin S Ramsden	2024 Winter Quarter	2240	N		17			1				1					2							21
CLNI 85	Global Action	Erin S Ramsden	2024 Winter Quarter	2240	N	8	12	1																		21
CLNI 85	Global Action	Erin S Ramsden	2024 Winter Quarter	2240	N	6	9	3		2									2							22
CLNI 85	Global Action	Erin S Ramsden	2024 Winter Quarter	2240	N	1	15	5		1		1														23
CMMU 20	Media/Social Movements	Rachel A Goodman	2024 Winter Quarter	2240	N	3	7	11	7	4		1	2		2			2	8	1				1		49
CMMU 101	Soc Mvmts/3rd Sectr	Sierra Marie Edenhofer	2024 Winter Quarter	2240	N	3	4	4	3	6			1			2										23
CMMU 107	Analys Fld Material	Alison Alkon	2024 Winter Quarter	2240	N		9	3	1	1			1													15
CMMU 107	Analys Fld Material	Craig Reinarman	2024 Winter Quarter	2240	N		6	3	1	1																11
CMMU 137	CommunityClimateChange	Alison Alkon	2024 Winter Quarter	2240	N	2	12	10	2	4	1	2	2	1				2	2							40
CMMU 165	CommunityGlobalHealth	Lucia Vitale	2024 Winter Quarter	2240	N	4	10	5		5	1					1		1		1						28
CMPM 15	Research Explorations	David Lee	2024 Winter Quarter	2240	N	1	67	3	2										7	1				2		83
CMPM 17	DSG Build Experience	Tela Favaloro	2024 Winter Quarter	2240	N	4	8	1		1		1							2	1						18
CMPM 17	DSG Build Experience	Tela Favaloro	2024 Winter Quarter	2240	N	1	6	3	1					1												12
CMPM 26	3D Animation	Christopher Yonge	2024 Winter Quarter	2240	N	4	13	3	8		1	2				1		4	2	6				1		45
CMPM 80A	Accessible Games	Adam Sporka	2024 Winter Quarter	2240	N	70	7	2	1		2	2						2	2	1				1		90
CMPM 80J	Games as Tech Culture	Samantha Gorman	2024 Winter Quarter	2240	N	15	48	25	5	7		2	1													103
CMPM 80K	FoundationsGameDesgn	Kathryn Elizabeth Ringland	2024 Winter Quarter	2240	N	42	63	14	21	35	18	11	14	9	1	2	2	15	15	15				8		285
CMPM 118	Rsrch Exp in ENG	David Lee	2024 Winter Quarter	2240	N		87	6	2																	95
CMPM 118	Rsrch Exp in ENG	Jason Eshraghian	2024 Winter Quarter	2240	N	8	1			1									3							13
CMPM 120	Game Develop Exp	Nathan Altice	2024 Winter Quarter	2240	N	10	13	16	12	6	5	7	2	1				3	1	2				2		80
CMPM 123	Advanced Programming	Graeme Devine	2024 Winter Quarter	2240	N	6	7	1	4	5	1							4	1	4						33
CMPM 125	Game Technologies	Tyler Coleman	2024 Winter Quarter	2240	N	19	38	12	4	2		2	1							2				1		81
CMPM 146	Game AI	Daniel G Shapiro	2024 Winter Quarter	2240	N	12	14	18	19	6	1	1						1	3							75
CMPM 150	Digital Audio	Adam Sporka	2024 Winter Quarter	2240	N	25	23	17	12	16	11	6	5	4				5	3							127
CMPM 169	Creative Coding	Wes Modes	2024 Winter Quarter	2240	N		48		2		1	1						2								54
CMPM 171	Game Design STU	Adam Marshall Smith; Graeme Devine	2024 Winter Quarter	2240	N	19	24	19	5	3	2	3	2													77
