Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Daniele Venturi	2021 Fall Quarter	2218	N	149	17	12	9	2	7	1	4		1	1	2	9		2				1		217
AM 11A	Math Methd for Econ	Bruno Silva Mendes	2021 Fall Quarter	2218	Y	4	10	12	25	10	7		11			3		4	1	3						90
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2021 Fall Quarter	2218	Y	7	43	20	30	32	17	24	17	3		6		1	14	6				1		221
AM 30	SOE Calculus III	Jonathan Rice Katznelson	2021 Fall Quarter	2218	N	7	8	1	6	2	1	5	5	1		7		3		1						47
AM 100	Math Methods III	Hongyun Wang	2021 Fall Quarter	2218	N	3	6	3	4	4		1	2													23
AM 107	IntroFluidDynamics	Nicholas H Brummell	2021 Fall Quarter	2218	Y	4	5	1	2																	12
AM 114	Intro Dynam Systems	Daniele Venturi	2021 Fall Quarter	2218	Y	21	2	3	4	3	4		2					2	5	3				2		51
AM 129	Foundtns Sci Comput	Ian May	2021 Fall Quarter	2218	N	6	3	3	2	4			1					1	1		1	1				23
AM 214	Applied Dynamic Sys	Daniele Venturi	2021 Fall Quarter	2218	Y	15		1	1	3								3			2	2		1		28
AM 230	Numerical Optimiz	Qi Gong	2021 Fall Quarter	2218	N		3	2													7					12
AM 280B	Applied Math Model	Abhishek Halder	2021 Fall Quarter	2218	N		9														5					14
ANTH 1	Intro Biolog Anth	Emily A Schach	2021 Fall Quarter	2218	N	15	159		19	36		2	8					1	3					1		244
ANTH 89	Fdns4Global&CommHealth	Grant A Hartzog; William Sullivan	2021 Fall Quarter	2218	Y	13	4	3	4	3	1	1						1	2	1						33
ANTH 97	Lab Safety Practice	Viktoria Oelze	2021 Fall Quarter	2218	N		3												7					1		11
ANTH 104	Human Var and Adapt	Lars Fehren-Schmitz	2021 Fall Quarter	2218	N	24	45	25	2	6	1								2							105
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2021 Fall Quarter	2218	N		10	6	1	3	1		1					1	2	2				2		29
ANTH 110P	India Diaspora Film	Annapurna Devi Pandey	2021 Fall Quarter	2218	N		2	7	4	8	6	1	1		1			5	2	1						38
ANTH 110Y	Feeding California	Natalie Anne Ng	2021 Fall Quarter	2218	N		9	4	1	5	5	2	4					1	1					2		34
ANTH 130L	Latin Amer Ethnogra	Guillermo Delgado-P	2021 Fall Quarter	2218	N		27	6	8	1			1					3	1	1						48
ANTH 145X	Socio-Cultural Anth	Nancy N Chen	2021 Fall Quarter	2218	N		34	5	1	1	1		1	1				1		2						47
ANTH 146	Anth & Environment	Andrew S. Mathews	2021 Fall Quarter	2218	Y	5	8	13	15	9	3		2	1				3								59
ANTH 146	Anth & Environment	Brian Walter	2021 Fall Quarter	2218	N	4	6	5	2	9	7		1						1	1				2		38
ANTH 150	Communicating Anth	Renya K Ramirez	2021 Fall Quarter	2218	N	27	13	2		4	1							4						1		52
ANTH 170	His Archaeol Theory	Tsim D Schneider	2021 Fall Quarter	2218	N	4	11			5																20
ANTH 176F	Cal Archaeology	Tsim D Schneider	2021 Fall Quarter	2218	N	25	22		7	10			3					1		1						69
ANTH 177	Environmental Arch	Erendira M Quintana Morales	2021 Fall Quarter	2218	N		32	3	1	3	3	1	1			2		3								49
ANTH 187B	Cultr Resource Mgmt	Jon D Daehnke	2021 Fall Quarter	2218	N		5	7	5	2	1															20
ANTH 194J	Hist Forests,Wild	Anna L Tsing	2021 Fall Quarter	2218	N	1	5		1	3			1											2		13
ANTH 196O	Gender and Politics	Alejandra Letelier Kramer	2021 Fall Quarter	2218	N		12	1			2								1							16
ANTH 220	Cartography Culture	Melissa L Caldwell	2021 Fall Quarter	2218	N		2														7	1				10
APLX 80	Intro Applied Ling	Eve C Zyzik	2021 Fall Quarter	2218	N	4	10	4	3	4						1		2		1						29
APLX 116	Discourse Analysis	Bryan A. Donaldson	2021 Fall Quarter	2218	N	5	5	6	3		1	1							2							23
APLX 138	English Grammar TESOL	Donald Patrick Miller	2021 Fall Quarter	2218	N	1	6	6	2	1	4		1													21
ARBC 1	Arabic: First Year	Abdelkader Berrahmoun	2021 Fall Quarter	2218	N		16	7											2	1	1					27
ART 10E	3D Foundation	Jorge Mascarenhas Menna Barreto	2021 Fall Quarter	2218	N	9	112	31	18	8	3	1	1		2	2			1							188
ART 20G	Intro Print/Draw	Sarah Sanford	2021 Fall Quarter	2218	N		10	3	4	3	2								1					1		24
ART 20I	Intro Photography	Karolina Karlic	2021 Fall Quarter	2218	N	9	9	3	1		2									1						25
ART 20J	Intro Draw/Paint	Melissa Gwyn	2021 Fall Quarter	2218	N		14	4	2	3								1								24
ART 20K	Intro New Media	Yolande Constance Harris	2021 Fall Quarter	2218	N	3	7	3	4	2	2	1						1								23
ART 101	Computer Prog Arts	Wes Modes	2021 Fall Quarter	2218	N		54	12	4		6					2		3	4	3				1		89
ART 106C	StopMotionAnimation	Elliot W Anderson	2021 Fall Quarter	2218	N		9	1	4	3								1						1		19
ART 106O	2D Animation	Kristen Ling Gillette	2021 Fall Quarter	2218	N	5	69	8	2	2	3	2	4				1	4	6	1						107
ART 119	Spec Topics Drawing	Lisa J Rose	2021 Fall Quarter	2218	N	14	3		2	1	1							1								22
ART 125	Enviro Art Studio	Edward A. Shanken	2021 Fall Quarter	2218	N	2	13	3	1	1									1					1		22
ART 130	Interm/Adv Painting	Melissa Gwyn	2021 Fall Quarter	2218	N	1	12		3	3			1					1	2	1						24
ART 156	Project Devlop Photo	Karolina Karlic	2021 Fall Quarter	2218	N	7	4	1	4	4	3													1		24
ART 162A	Intaglio I	Sarah Sanford	2021 Fall Quarter	2218	N		6	3	2	2		1														14
ART 188	Int/Adv Sclpt/Fndry	Sean M Monaghan	2021 Fall Quarter	2218	N		10	3	1																	14
ART 194	Forms and Ideas	Kathleen Chris Perry	2021 Fall Quarter	2218	N		8	10	2		1													1		22
ARTG 80G	Vis Com Interaction	A.M. Darke	2021 Fall Quarter	2218	N		146	13	11	6	2	2	3	3	1			7	8	1				4		207
ARTG 80H	Crit His Digital Games	Mirek James Stolee	2021 Fall Quarter	2218	N	24	104	41	14	6	4	2	2		1			2	2					1		203
ARTG 80I	Foundations of Play	A.M. Darke	2021 Fall Quarter	2218	N		67	3	2	4		1	1	1					5							84
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2021 Fall Quarter	2218	N	1	25	5	3	2	1		1					1		2						41
ARTG 131	3D Game Art Prod	Mirek James Stolee	2021 Fall Quarter	2218	N	2	31	17	5	4		3						3	1	3				2		71
ARTG 170	Game Design I	Kristen Ling Gillette	2021 Fall Quarter	2218	N	9	73	21	7	11	8	2	3					1	1							136
ARTG 179	Game Design Practicum	Tad Ander Leckman	2021 Fall Quarter	2218	Y	2	6	1	1																	10
ARTG 179	Game Design Practicum	Joel Dreskin	2021 Fall Quarter	2218	Y		7		2										2					1		12
ASTR 2	Overview Universe	Jonathan J Fortney; Puragra Guha Thakurta	2021 Fall Quarter	2218	N	29	49	33	44	29	45	43	25	3	2	1		3	36	2						344
ASTR 16	Astrobio/Life/Universe	Natalie Batalha	2021 Fall Quarter	2218	N	1	10	19	14	15	6	5	3					5	5	2						85
ASTR 111	Order of Magnitude	Enrico Jorge Ramirez-Ruiz	2021 Fall Quarter	2218	N	10	15	4		6								3	1							39
ASTR 119	Intro Sci Computing	Brant Edward Robertson	2021 Fall Quarter	2218	N	5	15	6	2	1	2		2	2	1			3		1				1		41
BIOC 100A	Biochemistry	William G Scott	2021 Fall Quarter	2218	N	36	91	4	8	27	5	5	18			2		7		1				5		209
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2021 Fall Quarter	2218	N	1	105	66	13	14	7		9					2		1						218
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2021 Fall Quarter	2218	N	9	24	40	25	39	40	37	47		6	8		10	7	2				2		296
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2021 Fall Quarter	2218	N	6	11	13	11	16	4	4	6			1		2	1							75
BIOE 75	Sci Diving Cert	Stephen R Clabuesch	2021 Fall Quarter	2218	N					2									9							11
BIOE 75	Sci Diving Cert	Stephen R Clabuesch	2021 Fall Quarter	2218	N					1	1								11							13
BIOE 82	Intro Field Res/Con	Ingrid Marie Parker	2021 Fall Quarter	2218	N	1	17	1		1									1							21
BIOE 107	Ecology	Erika S Zavaleta	2021 Fall Quarter	2218	N		26	25	14	15	4	2	2	1				2								91
BIOE 109	Evolution	Grant Pogson	2021 Fall Quarter	2218	N	7	18	20	16	9	10	1	2			1		5	1					2		92
