Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 3	Precalculus	Sara Nasab	2019 Fall Quarter	2198	N	15	21	13	10	4	3			1		6			2	1						76
AM 10	Math Methods I	Daniele Venturi	2019 Fall Quarter	2198	N	14	15	20	31	29	36	20	12	4				11	1	2				4		199
AM 11A	Math Methd for Econ	Bruno Silva Mendes	2019 Fall Quarter	2198	Y	1	2	16	18	10	10		9			19		7		2				2		96
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2019 Fall Quarter	2198	Y	6	17	10	9	25	11	6	55	11		11		12	3	13				3		192
AM 107	IntroFluidDynamics	Nicholas H Brummell	2019 Fall Quarter	2198	Y		2	1	2	2	1		1			1										10
AM 114	Intro Dynam Systems	Daniele Venturi	2019 Fall Quarter	2198	Y	2	3	3	7	8	9	7	2	3				2	2	2				2		52
AM 129	Foundtns Sci Comput	Dongwook Lee	2019 Fall Quarter	2198	N	26	13	4		2		6	1			1										53
AM 211	Foundatn App Math	Marcella Gomez	2019 Fall Quarter	2198	N	1		4	1	1		1								1	1					10
AM 214	Applied Dynamic Sys	Daniele Venturi	2019 Fall Quarter	2198	Y	3	4	1	2	2	2							1			4					19
ANTH 1	Intro Biolog Anth	Emily A Schach	2019 Fall Quarter	2198	N	25	127		26	95		11	27			2		1	11	3				2		330
ANTH 97	Lab Safety Practice	Viktoria Oelze	2019 Fall Quarter	2198	N	1		3											9	1				1		15
ANTH 100	History Biol Anthro	kalina kassadjikova	2019 Fall Quarter	2198	N		2	3	2	5	4	1	3						1	1				1		23
ANTH 110A	Contemporary Issues	Alejandra Letelier Kramer	2019 Fall Quarter	2198	N	11	21	3	9		1	1						2	3							51
ANTH 110Q	Black Queer Culture	Savannah T Shange-Binion	2019 Fall Quarter	2198	Y		5	7	8	1	3								7	1						32
ANTH 110U	Piracy	Nidhi Mahajan	2019 Fall Quarter	2198	N	13	11	11	14	3	4		3	3					6					1		69
ANTH 130A	Anth of Africa	Nidhi Mahajan	2019 Fall Quarter	2198	N	1	6	9	13	7	6							1	3					2		48
ANTH 130L	Latin Amer Ethnogra	Guillermo Delgado-P	2019 Fall Quarter	2198	N		24	16										1	4	1						46
ANTH 140	Enviro-Med Intersect	Jerry Chuang-Hwa Zee	2019 Fall Quarter	2198	Y	2	18	11	5	8	1	1						2	4					1		53
ANTH 147	Anthropocene	Anna L Tsing	2019 Fall Quarter	2198	N		19	9	12	9			2						3		1			1		56
ANTH 150	Communicating Anth	Megan Colleen Moodie	2019 Fall Quarter	2198	N	1	2	8	4	3	2	2	3					1		2				1		29
ANTH 175	African Archaeology	James C Monroe	2019 Fall Quarter	2198	Y	1		5	2	3	4	8	11	6	2	1	1	8	10	5				4		71
ANTH 176A	No American Archlgy	Danielle Lynn Dadiego	2019 Fall Quarter	2198	N	17	3	10	5		2		1		1				1							40
ANTH 194X	Wom/Poli:3d Wor Per	Alejandra Letelier Kramer	2019 Fall Quarter	2198	N	2	8	2	2	2																16
ANTH 196W	Weather & Exposure	Jerry Chuang-Hwa Zee	2019 Fall Quarter	2198	N		8	2	2	5			1					1								19
APLX 80	Intro Applied Ling	Donald Patrick Miller	2019 Fall Quarter	2198	N	5	19	13	5	3	4	2	2			1	1	4	5					1		65
APLX 116	Discourse Analysis	Bryan A. Donaldson	2019 Fall Quarter	2198	N	1	4	1	3	6	2		1						5	2						25
ARBC 1	Arabic: First Year	Abdelkader Berrahmoun	2019 Fall Quarter	2198	N		17												4	2	1	1				25
ART 10E	3D Foundation	Yolande Constance Harris	2019 Fall Quarter	2198	N	3	85	43	13	12	4	3	2	2		1			9	1				3		181
ART 20G	Intro Print/Draw	Jimin Lee	2019 Fall Quarter	2198	N		11	8	6		1													1		27
ART 20H	Intro Sculpt/Public	Jennifer A Parker	2019 Fall Quarter	2198	N		12	3	6	3				1												25
ART 20I	Intro Photography	Karolina Karlic	2019 Fall Quarter	2198	N	4	4	8	4		1		2													23
ART 20J	Intro Draw/Paint	Timothy Craighead	2019 Fall Quarter	2198	N	1	5	5	2	5	2	3							1					1		25
ART 20L	Intro to Drawing	Grant Whipple	2019 Fall Quarter	2198	N		10	24	14	5	2	2	3	1				4	8	1				2		76
ART 80D	Fundamentals of Photo	Kathleen Chris Perry	2019 Fall Quarter	2198	N		18	8	36	24	9	10	2					3	17	1				7		135
ART 106C	StopMotionAnimation	Elliot W Anderson	2019 Fall Quarter	2198	N	2	10	3	1		1	1							2							20
ART 130	Interm/Adv Painting	Melissa Gwyn	2019 Fall Quarter	2198	N		13	5	3	5	1		2						1							30
ART 133	Abstract Painting	Timothy Craighead	2019 Fall Quarter	2198	N	1	8	6	4	4	1													1		25
ART 150	Darkroom Practices	Karolina Karlic	2019 Fall Quarter	2198	N	8	9	5	2															1		25
ART 156	Project Devlop Photo	Kathleen Chris Perry	2019 Fall Quarter	2198	N		7	3	4	2																16
ART 162A	Intaglio I	Jimin Lee	2019 Fall Quarter	2198	N		16	7		1																24
ART 163A	Lithography I	Enrique Martinez Leal	2019 Fall Quarter	2198	N	3	3	2	5	1	1															15
ART 175	Taking Art to Streets	Kyle Forrest McKinley	2019 Fall Quarter	2198	N	3	5	3	9	5		1														26
ART 184	3D ArtDesign:LaserCNC	Kristen Ling Gillette	2019 Fall Quarter	2198	N	1	9	4	5		1							1	2							23
ART 188	Int/Adv Sclpt/Fndry	Sean M Monaghan	2019 Fall Quarter	2198	N		10	3	4		2															19
ART 194	Forms and Ideas	Laurie Palmer	2019 Fall Quarter	2198	N		9	8	6	2	1								1							27
ARTG 80G	Vis Com Interaction	Marcelo Viana Neto	2019 Fall Quarter	2198	N	8	50	59	33	11	17	11	5	2	1	2		6	2	1						208
ARTG 80H	Crit His Digital Games	micha cardenas	2019 Fall Quarter	2198	N	17	46	45	31	17	11	4	5	1		1		6	2	1				5		192
ARTG 80I	Foundations of Play	Elizabeth A Swensen	2019 Fall Quarter	2198	N	3	47	18	3			1	3	2		1	2	1	3							84
ARTG 118	Draw/Paint Game Des	Eduard Joseph Gregor	2019 Fall Quarter	2198	N	11	8	1	3	1								1								25
ARTG 134	Spectacular Play	A.M. Darke	2019 Fall Quarter	2198	N	2	7	8		4		1	2			1			1							26
ARTG 170	Game Design I	Robin Hunicke	2019 Fall Quarter	2198	N	68	10	1	2		1		1					2								85
ARTG 179	Game Design Practicum	Tad Ander Leckman	2019 Fall Quarter	2198	Y		4	4		1	1	1									1					12
ARTG 179	Game Design Practicum	Joel Dreskin	2019 Fall Quarter	2198	Y		12		1	2			1											1		17
ARTG 179	Game Design Practicum	Tad Ander Leckman	2019 Fall Quarter	2198	Y		5	2	2	2	1		1						1							14
ASTR 1	The Cosmos	Puragra Guha Thakurta	2019 Fall Quarter	2198	N	14	19	24	28	33	31	16	21				1	3	30	1	1			4		226
ASTR 2	Overview Universe	Michael Bolte	2019 Fall Quarter	2198	N	3	15	14	11	29	4	9	16			1		4	85	12				7		210
ASTR 111	Order of Magnitude	Enrico Jorge Ramirez-Ruiz	2019 Fall Quarter	2198	N	2	8	2	3	2	3													1		21
ASTR 118	Planetary Systems	Natalie Batalha	2019 Fall Quarter	2198	N		4	8	4	3	5	2		2	1	2		1	1	1				1		35
ASTR 119	Intro Sci Computing	Asher Daniel Wasserman	2019 Fall Quarter	2198	N		22	5	2	3	2		1						1							36
ASTR 135A	Astrophys Adv Lab	George S Brown	2019 Fall Quarter	2198	Y		3	1	2	2			2													10
ASTR 204	Astrophysics II	Ruth Murray-Clay	2019 Fall Quarter	2198	N		14			1											4					19
ASTR 257	Observational Astro	Andrew Joseph Skemer	2019 Fall Quarter	2198	N		5	3	1	2																11
ASTR 292	Seminar	Puragra Guha Thakurta	2019 Fall Quarter	2198	N	9															25					34
BIOC 100A	Biochemistry	Michael D Stone	2019 Fall Quarter	2198	N	12	20	17	13	17	34	32	28			20		9	1	1						204
BIOE 20B	Developmt & Physiol	Katharine Lora Cary	2019 Fall Quarter	2198	N	12	45	33	29	30	20	11	19		2	1	2	2		1				2		209
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2019 Fall Quarter	2198	N	6	10	26	19	37	48	69	43	1		8		7	5	6				11		296
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2019 Fall Quarter	2198	N	2	4	4	4	14	11	19	10			1		1	3	2				1		76
BIOE 82	Intro Field Res/Con	Sean Bryant Reilly	2019 Fall Quarter	2198	N	3	17	3		1														1		25
BIOE 82	Intro Field Res/Con	Kristen Kusic Heady	2019 Fall Quarter	2198	N		19			2								1						1		23
BIOE 82	Intro Field Res/Con	Abraham Borker	2019 Fall Quarter	2198	N	3	6	11	1				1						1							23
BIOE 107	Ecology	Erika S Zavaleta	2019 Fall Quarter	2198	N		10	11	22	17	9	10	15	1	1	2		5	2	2				1		108
BIOE 109	Evolution	Suzanne Henson Alonzo	2019 Fall Quarter	2198	N	3	21	16	18	19	15	13	4	1	1		1	1								113
BIOE 112	Ornithology	Bruce E Lyon	2019 Fall Quarter	2198	N	2	7	7	2	4	2	3	1											1		29
BIOE 112L	Ornithology Field	Bruce E Lyon	2019 Fall Quarter	2198	N	12	7	1	1	3	1	3												1		29
BIOE 124	Mammalogy	Alan Shabel	2019 Fall Quarter	2198	N	1	6	5	6	3	1	1	1						2							26
BIOE 124L	Mammalogy Lab	Alan Shabel	2019 Fall Quarter	2198	N	1	5	5	5	4	3	1		1					1							26
BIOE 127	Ichthyology	Giacomo Bernardi	2019 Fall Quarter	2198	N	6	12	24	15	19	12	7	4	1		1										101
BIOE 127L	Ichthyology Lab	Giacomo Bernardi	2019 Fall Quarter	2198	N	1	6	4	7	3	3	2	1													27
