Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
BIOL 20A	Cell & Molecular Bi	John W Tamkun	2021 Summer Quarter	2214	N	1	11	3	2	8	4	12	6	6	1	1	1	4		1				7		68
BIOL 80J	Biology Emerging Disea	James A Shanks	2021 Summer Quarter	2214	N		2	2	1	2	1							3	1					1		13
BIOL 100	Biochemistry	Jeremy C Lee	2021 Summer Quarter	2214	N	1	5	4	4	10	8	6	8			5		4						3		58
BIOL 101	Molecular Biology	Melissa S Jurica	2021 Summer Quarter	2214	N	1	2	3	1	3	6	6	5	3		2		7						2		41
BIOL 105	Genetics	Rohinton T Kamakaka	2021 Summer Quarter	2214	N	3	2	3	5	5	4	12	12			2		3	2	1				2		56
BIOL 110	Cell Biology	Guido Bordignon	2021 Summer Quarter	2214	N	1	45		9	14		4	7					1								81
BIOL 130	Human Physiology	Giulia Jale Gurun Gurun	2021 Summer Quarter	2214	N		2	1	3	7	1	2	4					1	1	1				1		24
BME 80G	Bioethics 21st Cent	Sandra Lyn Dreisbach	2021 Summer Quarter	2214	Y		7	10	6	1		1		2				1								28
BME 185	Tech Writing Biomol	Joy Anna Hagen	2021 Summer Quarter	2214	N		11	3	2									1								17
BME 188C	SynthBio Research-C	David Lee Bernick	2021 Summer Quarter	2214	N	2	9	4										1								16
CHEM 1A	General Chemistry	John Manuel Diniz	2021 Summer Quarter	2214	N	19	13	3	2	8	2	3	8	2		4		10	1	1				2		78
CHEM 1B	General Chemistry	Jin Zhong Zhang	2021 Summer Quarter	2214	N	5	8	12	9	7	5	7	7	1		1		5	1					2		70
CHEM 1C	General Chemistry	Peter Scott Weiss	2021 Summer Quarter	2214	N	15	21	15	11	12	9	3	4			2		5						2		99
CHEM 1M	Gen Chem Lab	Randa Elaine Pfeifer Roland	2021 Summer Quarter	2214	N		57	2	1									1	1					3		65
CHEM 8A	Organic Chemistry	Chayo E. Fuentes Chang; Rachel Ann Snelling	2021 Summer Quarter	2214	N	36	66		10	26		4	4			1		2	2							151
CHEM 8B	Organic Chemistry	Patrick Wayne Skelly; Rachel Ann Snelling	2021 Summer Quarter	2214	N	1	9		2	4		5	1													22
CHEM 8B	Organic Chemistry	Rachel Ann Snelling	2021 Summer Quarter	2214	N	54	78		4	21		4	5						1					1		168
CHEM 8L	Organic Chem Lab	Caileen Marie Brison	2021 Summer Quarter	2214	N	61	70	7	2	3	1			1												145
CHEM 8M	Organic Chem Lab	Alester Cordell Wiggins-Allen	2021 Summer Quarter	2214	N	33	71	19	6	6								1						2		138
CHEM 163A	Quantum Mech & Spec	Yat Li	2021 Summer Quarter	2214	N			1	1		3	4	3					1								13
CHIN 1	Chinese: First Year	Jing Wu	2021 Summer Quarter	2214	N	5	1	2					1					2	1					1		13
CLNI 1A	Univ Life & Learning	Emily Murai; Flora E. Lu	2021 Summer Quarter	2214	N														455	12						467
CLTE 1A	Univ Life & Learning	Ariel Robello; Flora E. Lu	2021 Summer Quarter	2214	N														464	14						478
CMMU 10	Intr To Cmmu Actvsm	Lani Hanna	2021 Summer Quarter	2214	N	7	8											3								18
CMMU 20	Media/Social Movements	Rachel A Goodman	2021 Summer Quarter	2214	N		6	10	3	1		1	1						6	1				1		30
CMMU 30	NumbersSocialJustice	Julianne Elsie Foxworthy Gonzalez	2021 Summer Quarter	2214	N	2	7	3	5	3		1						4	4	3				1		33
CMMU 105A	Field Study	Mary Beth Pudup	2021 Summer Quarter	2214	N		6	9	8	7	1	2												1		34
CMMU 105B	Field Study	Mary Beth Pudup	2021 Summer Quarter	2214	N		15		2	10	4		2											1		34
CMMU 105C	Field Study	Mary Beth Pudup	2021 Summer Quarter	2214	N	5	19	4	3	2														1		34
CMPM 80K	FoundationsGameDesgn	Mirek James Stolee	2021 Summer Quarter	2214	N	5	94	3	1	4		2	1	1				4	9							124
CMPM 120	Game Develop Exp	Isaac Karth	2021 Summer Quarter	2214	N	5	33	5	6	2	2							1	1							55
CMPM 121	Game Technologies	Mirek James Stolee	2021 Summer Quarter	2214	N	5	32	1										1						1		40
CMPM 150	Digital Audio	Nathan Altice	2021 Summer Quarter	2214	N		6	6	4		2								1					1		20
CMPM 150	Digital Audio	Nathan Altice	2021 Summer Quarter	2214	N		6	6	1	2	2	1						1						1		20
CMPM 179	Game Design Practicum	Tad Ander Leckman	2021 Summer Quarter	2214	N		15			2																17
COWL 1A	Univ Life & Learning	Alan S Christy; Todd Nathan Thorpe	2021 Summer Quarter	2214	N														482	23						505
COWL 52	Personal Finance	Patricia M Kelly	2021 Summer Quarter	2214	N	28	90	26	15	5	4	5						3	10	2						188
COWL 174	Global Leadership	Caitlin Marie Stinneford	2021 Summer Quarter	2214	N		9	1										1	3							14
CRES 10	Intro to CRES	Nicholas Oliver Mitchell	2021 Summer Quarter	2214	N	4	19	11	7	4	4	2	5					1	5	1				3		66
CRES 188X	Topics in CRES	Jane Komori	2021 Summer Quarter	2214	N	9	3		1				1													14
CRSN 1A	Univ Life & Learning	Clara Sophia Weygandt; Sue A Carter	2021 Summer Quarter	2214	N														370	65						435
CRSN 15A	STEM Essentials	Stella Hein	2021 Summer Quarter	2214	N		24			3			3					2	3					3		38
CRSN 15A	STEM Essentials	Stella Hein	2021 Summer Quarter	2214	N		8			5			4			1		3	1					1		23
CRSN 155S	Innovation & Sustain	Andrea Carafa	2021 Summer Quarter	2214	N		1		6	1									7							15
CRWN 1A	Univ Life & Learning	Manel Camps; Nada Miljkovic	2021 Summer Quarter	2214	N														394	39				1		434
CRWN 80F	Science Fiction	Dion N Farquhar	2021 Summer Quarter	2214	N	4	17	12	4	5		1	1						4							48
CRWN 90	EntrepreneurshipAcad	Nada Miljkovic	2021 Summer Quarter	2214	N	1	7						1						1		1					11
CRWN 98	Podcasting	Nada Miljkovic	2021 Summer Quarter	2214	N	9	9	12		2								2	5	1				3		43
CSE 12	Com Sys/Assmbly Lan	Kevin Frank Serrano	2021 Summer Quarter	2214	N		16			16			5			1		1						1		40
CSE 12L	Comp Sys/Lang Lab	Kevin Frank Serrano	2021 Summer Quarter	2214	N		16			16			5			1		1						1		40
CSE 16	Appl Discrete Math	Patrick Tantalo	2021 Summer Quarter	2214	N	1	5	12	3	12	6	6	13	1	1	1		4	4	3				4		76
CSE 20	Beginning Python	Daniel Santos Ferreira Alves	2021 Summer Quarter	2214	N	4	12	2	3	4	1	3	8			1		5	3	8				7		61
CSE 20	Beginning Python	Yongwhan Lim	2021 Summer Quarter	2214	N		46	1	1										3					4		55
CSE 30	Prog Abs Python	Larissa A Munishkina	2021 Summer Quarter	2214	N	2	6	2	4	4	5		5			4	1	15	1	3				8		60
CSE 111	Adv Programming	David Charles Harrison	2021 Summer Quarter	2214	N	1	2	9	3	5		3	1					3		1				1		29
CSE 140	Artif Intelligence	Narges Norouzi	2021 Summer Quarter	2214	N			2	8	2	6	3	2		2	1	1	3	1					3		34
CSE 144	Applied ML	Narges Norouzi	2021 Summer Quarter	2214	N		4	12	4	6	3	4				1										34
CSE 183	Web Applications	David Charles Harrison	2021 Summer Quarter	2214	N		4	11	6	5	6	4	2			1		5	1					4		49
