Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
COWL 11C	Leader Intelligence	Miranda Allen-Brower	2022 Spring Quarter	2222	N	14	2			2									4							22
COWL 65	Meaning Paradox Love	Addi Somekh	2022 Spring Quarter	2222	N	6	103												2							111
COWL 70C	Advanced Book Arts	Gary E Young	2022 Spring Quarter	2222	N	2	9																			11
COWL 89	Fac Research Colloq	Amanda M. Smith	2022 Spring Quarter	2222	N	97	98	16	4	5	4	1	2		1	2		1	3	1						235
COWL 111	Mock Trial Workshop	Caitlin Marie Stinneford	2022 Spring Quarter	2222	N	5	35	11	4	4		4				1	1	4	9					3		81
COWL 122	UN-Contemporary Issues	Caitlin Marie Stinneford	2022 Spring Quarter	2222	Y	1	13	6	2	1	1	1	1					1	7	1				2		37
COWL 168	Social Change	Caitlin Marie Stinneford	2022 Spring Quarter	2222	N	2	30	7	2	2									4	1						48
COWL 184C	Leadership & Instit	Caitlin Marie Stinneford	2022 Spring Quarter	2222	N		34	1	3	2	1	1	1						1	1						45
COWL 198	Indep Field Study	Alan S Christy	2022 Spring Quarter	2222	N	3	13			1																17
CRES 70B	Black Radical Univ?	Andrea del Carmen Vazquez	2022 Spring Quarter	2222	N		2	1	1			1		2		1		3	22	9				1		43
CRES 70S	Intro to the Sikhs	Nirvikar Singh	2022 Spring Quarter	2222	N		70	11	16	9	4	4	2					13	9	6	1			3		148
CRES 70S	Intro to the Sikhs	Nirvikar Singh	2022 Spring Quarter	2222	N		10	1	2	1	1		1					4	2					1		23
CRES 101	CRES Resrch Methods	Luis Trujillo	2022 Spring Quarter	2222	N	10	14	3	1	5	2		4				1	4	4					2		50
CRES 131	Black Freedom Movemnts	Xavier Livermon	2022 Spring Quarter	2222	N	2	12	6	5	4	2	1	2					2	7	1						44
CRES 188A	Transnatl AAPI Studies	Kiley McLaughlin	2022 Spring Quarter	2222	N	2	8	7	2	4	1	1	2					2						1		30
CRES 188T	Race, Sci, Tech	Xindi Li	2022 Spring Quarter	2222	N	3	5	3	1	4		1	1					3	5	1	1			3		31
