Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Daniele Venturi	2023 Spring Quarter	2232	N	248	10	8	4	7	5	2						3	1					2		290
AM 11A	Math Methd for Econ	Jelliffe Jackson	2023 Spring Quarter	2232	Y	1	2	3	4	4	1	4	3	11		2		1		1				4		41
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2023 Spring Quarter	2232	Y	2	9	3	2	10	12	10	25	16		6		3	3	4				1		106
AM 20	Math Methods II	Dongwook Lee	2023 Spring Quarter	2232	N	33	18	14	21	26	6	11	6			5		10	1	5				5		161
AM 30	SOE Calculus III	Jonathan Rice Katznelson	2023 Spring Quarter	2232	N	3	6	5	3	7	6	7	15	9		2		3								66
AM 115	Stochastic Modeling	Vanessa Jonsson	2023 Spring Quarter	2232	Y	8	9	3	1		1									1						23
AM 170B	Math Model 2	Vanessa Jonsson	2023 Spring Quarter	2232	N	3	12	6		1	3															25
AM 213B	Num Mthds Diff Eq	Hongyun Wang	2023 Spring Quarter	2232	N		11	1	1		3															16
AM 250	Intro High Perf Comp	Nicholas H Brummell	2023 Spring Quarter	2232	N	1	4	3	6	1	2	1									5					23
ANTH 2	Intr Culturl Anthro	Alejandra Letelier Kramer	2023 Spring Quarter	2232	N	12	151	21	23	10	4	5	5		4	1		7	8	1						252
ANTH 100	History Biol Anthro	Renee D Boucher	2023 Spring Quarter	2232	N	1	9	5	2	1		1		1				1	1					1		23
ANTH 103	Forensic Anthro	Emily A Schach	2023 Spring Quarter	2232	N	2	15	1		1																19
ANTH 105	Human Paleopathology	Emily A Schach	2023 Spring Quarter	2232	N	4	24		4	13			1					1	2							49
ANTH 106	Primate Behavior	Viktoria Oelze	2023 Spring Quarter	2232	N	3	20	29	9	10	7	3	4			1		1	3	1						91
ANTH 110Q	Black Queer Culture	Savannah T Shange-Binion	2023 Spring Quarter	2232	Y	1	4	2	3		3	2							5	1				1		22
ANTH 110U	Piracy	Nidhi Mahajan	2023 Spring Quarter	2232	N	9	35	17	1									1	4					1		68
ANTH 125	Magic,Sci,Religion	Annapurna Devi Pandey	2023 Spring Quarter	2232	N	3	4	3	3	5	7	2	3				1	4	1	3				1		40
ANTH 130F	Blackness In Motion	Savannah T Shange-Binion	2023 Spring Quarter	2232	Y	11	6	3	2	2	1								5	1				1		32
ANTH 130H	Ethno/Russia/E Eur	Melissa L Caldwell	2023 Spring Quarter	2232	N		8	10	21	14	3		3	1				2	1	1				3		67
ANTH 130Y	Health/Muslim Worlds	Ashwak Sam Hauter	2023 Spring Quarter	2232	N	3	8	1		1								3	1							17
