Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Tenavi Erin Nakamura-Zimmerer	2020 Winter Quarter	2200	N	16	30	21	24	21	13	11	8	3	1	1		6		2				1		158
AM 11A	Math Methd for Econ	Bruno Silva Mendes	2020 Winter Quarter	2200	Y		3	6	19	12	10		10			6		2	1					4		73
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2020 Winter Quarter	2200	Y	8	32	10	17	17	10	12	17			4			8	3				2		140
AM 20	Math Methods II	Qi Gong	2020 Winter Quarter	2200	N	40	30	27	27	21	8	2	2			1		2	1					2		163
AM 147	Comp Methods & App	Abhishek Halder	2020 Winter Quarter	2200	N	7	19	20	26	21	10	6	2					3	18	3				8		143
AM 213A	Numerical Linear Alg	Dongwook Lee	2020 Winter Quarter	2200	N	4	1	1	2	2	1	1	1								1	1				15
AM 230	Numerical Optimiz	Qi Gong	2020 Winter Quarter	2200	N		16	9	3												12					40
ANTH 3	Intro Archaeology	Jon D Daehnke	2020 Winter Quarter	2200	N	6	43	85	54	54	22	7	4					4	36	2				5		322
ANTH 97	Lab Safety Practice	Viktoria Oelze	2020 Winter Quarter	2200	N		2												11	1				1		15
ANTH 102A	Human Skeletal Biol	Eden Lee Washburn	2020 Winter Quarter	2200	N	10	7	5	2	1		1						1	3							30
ANTH 105	Human Paleopathology	Emily A Schach	2020 Winter Quarter	2200	N	1	34		7	13			5													60
ANTH 107C	Chimp Behavior/Culture	Viktoria Oelze	2020 Winter Quarter	2200	N	2	7	2	1		1															13
ANTH 110G	Westside Stories	Savannah T Shange-Binion	2020 Winter Quarter	2200	Y	2	19	23	1									1	15	1				2		64
ANTH 110K	Cultur Through Food	Nancy N Chen	2020 Winter Quarter	2200	N	11	31	13	17	12	2								22	6				6		120
ANTH 110W	Land & Waterscapes	Guillermo Delgado-P	2020 Winter Quarter	2200	N	1	31	8	1				1					1	2	2				3		50
ANTH 126	Contraband	Nidhi Mahajan	2020 Winter Quarter	2200	Y		9	3	1	1	1							1	6							22
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2020 Winter Quarter	2200	N		3	1	5	2	1	11	2	2		1		6	6	3				2		45
ANTH 131	Gender in Culture	Renya K Ramirez	2020 Winter Quarter	2200	N		23	25																		48
ANTH 134	Intro Medical Anthro	Salvador Chava Contreras	2020 Winter Quarter	2200	N		57												2							59
ANTH 152	CulturalAnthTheory	Andrew S. Mathews	2020 Winter Quarter	2200	N	9	9	26	16	5	2		1					3	3					1		75
ANTH 158	Feminist Ethnography	Alejandra Letelier Kramer	2020 Winter Quarter	2200	N	9	24	2	4									4	2							45
ANTH 171	Mat/Methods His Arch	Danielle Lynn Dadiego	2020 Winter Quarter	2200	N	7	5	2	1		2		1													18
ANTH 178	Historical Archaeol	James C Monroe	2020 Winter Quarter	2200	Y	7	9	5	13	7	11	2	3						5	1				1		64
ANTH 194X	Wom/Poli:3d Wor Per	Annapurna Devi Pandey	2020 Winter Quarter	2200	N		2	1	7	2	1									1				1		15
ANTH 196D	Food and Medicine	Nancy N Chen	2020 Winter Quarter	2200	N	1	10	11		1										1						24
ANTH 196T	Arch of Technology	Judith A Habicht Mauche	2020 Winter Quarter	2200	N	2	2	2	2	1		1	1													11
APLX 101	L2 Acquisition	Donald Patrick Miller	2020 Winter Quarter	2200	N	2	12	3	5	4	2		1		1											30
APLX 122	LingDiv&SocJustice	Zsuzsanna Abrams	2020 Winter Quarter	2200	N	2	9	4	4	3	1									1						24
ARBC 2	Arabic: First Year	Abdelkader Berrahmoun	2020 Winter Quarter	2200	N		8	4											1		1			1		15
ART 10D	2D Foundation	Kristen Ling Gillette	2020 Winter Quarter	2200	N	51	58	19	7	14	2	2	5	1				3	5	9		1				177
ART 20H	Intro Sculpt/Public	Wendy Dee Hibbert-Jones	2020 Winter Quarter	2200	N	2	1	9	7	3																22
ART 20I	Intro Photography	Norman Locks	2020 Winter Quarter	2200	N		11	1	7									2								21
ART 20J	Intro Draw/Paint	Melissa Gwyn	2020 Winter Quarter	2200	N		12	3		2			2					1	2	2						24
ART 20K	Intro New Media	Elliot W Anderson	2020 Winter Quarter	2200	N		8	9	2									1						1		21
ART 80E	Enviro Art Expanded	Elizabeth Stephens	2020 Winter Quarter	2200	N	27	64	28	6	16	4	5	4	1	1			7	12	11				5		191
ART 80T	Digital Tools Art	Kristen Ling Gillette	2020 Winter Quarter	2200	N	125	111	29	16	10	12	8	11		1				22	20	1			13		379
ART 80T	Digital Tools Art	Kristen Ling Gillette	2020 Winter Quarter	2200	N	6	4	1				1	1						4					1		18
ART 106E	3D Model Animation	Elliot W Anderson	2020 Winter Quarter	2200	N		10		1	1								3		2						17
ART 119	Spec Topics Drawing	Marci Washington	2020 Winter Quarter	2200	N	10	9			3	3															25
ART 139	Spec Topcs Painting	Frank R Galuszka	2020 Winter Quarter	2200	N	12	12		4										1					1		30
ART 147T	Design Studio:Costume	Alina Bokovikova	2020 Winter Quarter	2200	N	5	5	1											1					1		13
ART 153	Still to Moving	Yolande Constance Harris	2020 Winter Quarter	2200	N	1	4	7	2		3	1		3					1					1		23
ART 156	Project Devlop Photo	Norman Locks	2020 Winter Quarter	2200	N	3	11	2	2	2										1						21
ART 161B	Relief Mix Med Print	Jimin Lee	2020 Winter Quarter	2200	N		15	7	1	1	1															25
ART 163C	Magnified Imagination	Enrique Martinez Leal	2020 Winter Quarter	2200	N	3	3	1	2	4									1					1		15
ART 168	Photo-Based Print	Jimin Lee	2020 Winter Quarter	2200	N	1	18	2	1										1							23
ART 181	Art Power & Politics	Wendy Dee Hibbert-Jones	2020 Winter Quarter	2200	N	1	8	7	5	1																22
ART 185	3D ArtDesign Print	Marisha Farnsworth	2020 Winter Quarter	2200	N		7	3	3		1	1				1				1						17
ART 190A	Writing for Artists	Yolande Constance Harris	2020 Winter Quarter	2200	N	2	40	35	20	9			4					2	5					1		118
ARTG 80H	Crit His Digital Games	Zoe Sandoval	2020 Winter Quarter	2200	N	26	102	41	15	8	4	2	1					3	6					2		210
ARTG 118	Draw/Paint Game Des	Eduard Joseph Gregor	2020 Winter Quarter	2200	N	10	8	1																1		20
ARTG 136	Digi Sculpting Games	Marcelo Viana Neto	2020 Winter Quarter	2200	N	3	16	10	1												1			1		32
ARTG 137	Tabletop RPG Design	Elizabeth A Swensen	2020 Winter Quarter	2200	N	9	9	3		1		1	1					1								25
ARTG 171	Game Design II	Robin Hunicke	2020 Winter Quarter	2200	N		17	10	5	5	1	3														41
ARTG 171	Game Design II	Marcelo Viana Neto	2020 Winter Quarter	2200	N		17	8	7	2	3	5														42
ARTG 179	Game Design Practicum	Tad Ander Leckman	2020 Winter Quarter	2200	Y	1	3	3	3	1																11
ASTR 2	Overview Universe	Alexie Leauthaud	2020 Winter Quarter	2200	N		26	11	11	19	29	22	6	2		1		1	59	2				1		190
ASTR 6	Space-Age Solr Sysm	Graeme H Smith	2020 Winter Quarter	2200	N	77	49	28	23	11			4					4	50			1		4		251
