Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Jonathan Rice Katznelson	2022 Summer Quarter	2224	N	4	5		1	2	3	1						2	1					1		20
AM 20	Math Methods II	Long Kim Lu	2022 Summer Quarter	2224	N			1		1		1	5			1		2						1		12
ANTH 1	Intro Biolog Anth	kalina kassadjikova	2022 Summer Quarter	2224	N		12	9	10	20	3		7		1	2	2	8	14	1				3		92
ANTH 2	Intr Culturl Anthro	Darcey Nicole Evans	2022 Summer Quarter	2224	N		36			1						1			2							40
ANTH 3	Intro Archaeology	James C Monroe	2022 Summer Quarter	2224	N	1	9	12	7	5	1	2	2	1		1		6	2	5				1		55
ANTH 100	History Biol Anthro	Renee D Boucher	2022 Summer Quarter	2224	N	2	3	4	3	1	2	1	1	1										3		21
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2022 Summer Quarter	2224	N		11	5	2	4			1					4	1	3				2		33
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2022 Summer Quarter	2224	N	5	10	4	6	2		3	1	2		1		1	5					4		44
ANTH 130S	Russia/E Europe Abroad	April Lucille Reber	2022 Summer Quarter	2224	N		4	1	1	1	1								2							10
ANTH 161S	Anth of Food Abroad	Rikki Ella Brown	2022 Summer Quarter	2224	N		3	2		1	2								2							10
ART 20G	Intro Print/Draw	Bridget Mary Henry	2022 Summer Quarter	2224	N	2	3	5		5		1						1	1							18
ART 20J	Intro Draw/Paint	Susana Terrell	2022 Summer Quarter	2224	N	2	2	3		2		2	2						2	1				3		19
ART 20K	Intro New Media	Yolande Constance Harris	2022 Summer Quarter	2224	N	4	6		4	2	1							1	2	1				1		22
ART 20L	Intro to Drawing	Grant Whipple	2022 Summer Quarter	2224	N	1	29	12	11	4	8			2				7	6	2				4		86
ART 106O	2D Animation	Kristen Ling Gillette	2022 Summer Quarter	2224	N	21	33	12	4	7	5	1	4					3	10	6				4		110
ART 132	Figure Painting	Frank R Galuszka	2022 Summer Quarter	2224	N	3	13	1	1	2									2							22
ART 135	Digital Painting	Kathleen Marie Deck	2022 Summer Quarter	2224	N	27	66	17	4	4	4	2	2	1	1			3	2	1				1		135
ART 161C	Relief Print in Korea	Jimin Lee	2022 Summer Quarter	2224	N	1	14	1																		16
ART 164A	Screenprinting	Ann Amica Altstatt	2022 Summer Quarter	2224	N	2	3	5		1			1			1			3	1				1		18
ARTG 80I	Foundations of Play	Hadiseh Gooranorimi	2022 Summer Quarter	2224	N	73												2	5					2		82
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2022 Summer Quarter	2224	N	6	25	1	2	1	1	1	1					4	8	4				2		56
ARTG 132	3D Character Rig	Eduard Joseph Gregor	2022 Summer Quarter	2224	N	11	10	3	2	2	2		1					9	1	3						44
ASTR 2	Overview Universe	Brian DiGiorgio Zanger	2022 Summer Quarter	2224	N	3	1	1	1	2		1	1	1				2	3	2				2		20
BIOE 16	Intro to Horticulture	Sylvie Marta Maris Flower Childress	2022 Summer Quarter	2224	N	1	8	3	2		1	1	1	1					1							19
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2022 Summer Quarter	2224	N		28	19	6	5	3							1						2		64
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2022 Summer Quarter	2224	N	2	2	2	5	23	13	15	13		3	3		3	2	1				6		93
BIOE 107	Ecology	Regina Rose Spranger	2022 Summer Quarter	2224	N	8	13	8	16	12	1	7	6	1		1		6						3		82
BIOE 108	Marine Ecology	Casey James Sheridan	2022 Summer Quarter	2224	N	1	6	4	4	11	5	4	9	3				6		1						54
BIOE 109	Evolution	Van Joshua Wishingrad	2022 Summer Quarter	2224	N	2	27	13	9	21	5	4	4	1		3		3	2					1		95
BIOE 118	Plants and Society	Erin Laysh Aiello	2022 Summer Quarter	2224	N		4		3	1	3	1						2								14
BIOE 125	Ecosystems of Calif	Kat Bernier	2022 Summer Quarter	2224	Y		4	7	2	6	1	1	2			1		1								25
BIOE 126	Biol Large Marine Vert	Arina Favilla	2022 Summer Quarter	2224	N	3	4	3	1	2																13
BIOE 134	Comparative Anatomy	Rita Mehta	2022 Summer Quarter	2224	N		9	2	2	1																14
BIOE 134L	Comparative Anatomy Lab	Rita Mehta	2022 Summer Quarter	2224	N		6	6		2																14
BIOE 140	Behavioral Ecology	Pauline Rachel Blaimont	2022 Summer Quarter	2224	N		7	8	6	4	2	2	2				1		1					1		34
BIOE 142L	Behavior in the Wild	Doriane Elaine Weiler	2022 Summer Quarter	2224	N	4	2	5	2	2				1		1		4	1					1		23
BIOE 158L	Marine Ecology Field	Nikolas John Kaplanis	2022 Summer Quarter	2224	N	4	7	1	1	3	1	1	3					1		1						23
BIOL 20A	Cell & Molecular Bi	John W Tamkun	2022 Summer Quarter	2224	N	1	1	1	3	1	1	3	7	4			1	8		1				3		35
BIOL 100	Biochemistry	Jeremy C Lee	2022 Summer Quarter	2224	N	2	3	6	4	6	4	5	18	3		4		12	1	1				3		72
BIOL 101	Molecular Biology	Melissa S Jurica	2022 Summer Quarter	2224	N		2	4	3	2	7	4	6	5		1		4						1		39
BIOL 105	Genetics	Rohinton T Kamakaka	2022 Summer Quarter	2224	N	5	4	4	6	6	7	3	7			6		2						1		51
BIOL 110	Cell Biology	Jeremy Earl Kreher	2022 Summer Quarter	2224	N	3	2		2	2	2	1	9			1										22
BIOL 115L	Eukaryotc Molec Lab	James A Shanks	2022 Summer Quarter	2224	N	1	2	6	4	1																14
BIOL 189	Health Sci Intrnshp	Grant A Hartzog	2022 Summer Quarter	2224	N		16			5																21
BIOL 189W	Human Biology DC	Grant A Hartzog	2022 Summer Quarter	2224	N		12	4	4															1		21
BME 80G	Bioethics 21st Cent	Sandra Lyn Dreisbach	2022 Summer Quarter	2224	Y	1	11	6	6	4	2	1	1			1		3	3	2				4		45
BME 185	Tech Writing Biomol	Joy Anna Hagen	2022 Summer Quarter	2224	N		8	2	2	1	1							1						1		16
BME 188C	SynthBio Research-C	David Lee Bernick	2022 Summer Quarter	2224	N	3	12																			15
CHEM 1A	General Chemistry	John Manuel Diniz	2022 Summer Quarter	2224	N	6	2	4		3		3	1			1		1	1							22
CHEM 1A	General Chemistry	John Manuel Diniz	2022 Summer Quarter	2224	N	15	12	4	9	7	6	5	9			2		13	2	1		1		2		88
CHEM 1B	General Chemistry	Jin Zhong Zhang	2022 Summer Quarter	2224	N	3	4	4	3	3	2	2	1	1				1						1		25
CHEM 1C	General Chemistry	Peter Scott Weiss	2022 Summer Quarter	2224	N	5	15	17	7	16	9	6	7			1		11								94
