Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 3	Precalculus	Marcella Gomez	2020 Fall Quarter	2208	N	4	22	18	12	9	6	2	5			1			1							80
AM 10	Math Methods I	Abram Kay Stout Rodgers	2020 Fall Quarter	2208	N	4	80	35	8	31	13	1	10			2		3	2	1				2		192
AM 11A	Math Methd for Econ	Jonathan Rice Katznelson	2020 Fall Quarter	2208	Y	6	13	6	4	14	7	8	14	7		3		4	3	1				6		96
AM 11B	Math Methds Econ II	Hongyun Wang	2020 Fall Quarter	2208	Y	19	31	17	16	23	25	20	23					23	8	2				5		212
AM 30	SOE Calculus III	Pascale Garaud	2020 Fall Quarter	2208	N	2	11	4	7	1	2	2	1			3				2				1		36
AM 107	IntroFluidDynamics	Nicholas H Brummell	2020 Fall Quarter	2208	Y	10	4	1	2										1	1						19
AM 114	Intro Dynam Systems	Pascale Garaud	2020 Fall Quarter	2208	Y	3	7	2	6	11	3					2			2	1				5		42
AM 129	Foundtns Sci Comput	Ian May	2020 Fall Quarter	2208	N	5	1		2	2			3			3		2	1	2	2			3		26
AM 214	Applied Dynamic Sys	Pascale Garaud	2020 Fall Quarter	2208	Y	2	8	8	3	1											1	1				24
AM 217	Intro Fluid Dynamics	Nicholas H Brummell	2020 Fall Quarter	2208	Y	6			1												4	1				12
AM 229	Convex Optimization	Abhishek Halder	2020 Fall Quarter	2208	N	14			2										1		14	2				33
AM 280B	Applied Math Model	Marcella Gomez	2020 Fall Quarter	2208	N		2														10					12
ANTH 1	Intro Biolog Anth	Emily A Schach	2020 Fall Quarter	2208	N	7	145		16	44		9	10			1		2	7					1		242
ANTH 100	History Biol Anthro	kalina kassadjikova	2020 Fall Quarter	2208	N	1	3	1	3	2	3	2	3			1				2						21
ANTH 102A	Human Skeletal Biol	Cristina Verdugo	2020 Fall Quarter	2208	N	1	2	2	1	1	5	1	1					2	2							18
ANTH 104	Human Var and Adapt	Lars Fehren-Schmitz	2020 Fall Quarter	2208	N	23	39	24	7	1	3	1							4							102
ANTH 110A	Contemporary Issues	Alejandra Letelier Kramer	2020 Fall Quarter	2208	N	2	26		2	3		1	1	1		1		2	5					1		45
ANTH 110C	California Pasts	Tsim D Schneider	2020 Fall Quarter	2208	Y	19	12		1	7			2											1		42
ANTH 110F	Evolution Human Diet	Viktoria Oelze	2020 Fall Quarter	2208	N	33	22	15	7	8	5	2		2		1			4							99
