Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Jonathan Rice Katznelson	2023 Summer Quarter	2234	N		1		1	5	1	1	3			2										14
AM 20	Math Methods II	Long Kim Lu	2023 Summer Quarter	2234	N		3	2	2	4		1	3			1								2		18
ANTH 1	Intro Biolog Anth	kalina kassadjikova	2023 Summer Quarter	2234	N		4	5	2	5	1		3					2		1						23
ANTH 2	Intr Culturl Anthro	Alejandra Letelier Kramer	2023 Summer Quarter	2234	N	3	17	2	1	2	1	1	2			1			1	1				1		33
ANTH 3	Intro Archaeology	James C Monroe	2023 Summer Quarter	2234	N	1	6	10	10	10	6	9	5		1	1		9	5	7				2		82
ANTH 100	History Biol Anthro	kalina kassadjikova	2023 Summer Quarter	2234	N	1	4	2		1	1		1					1						1		12
ANTH 100	History Biol Anthro	Renee D Boucher	2023 Summer Quarter	2234	N	2	10	2		1				1					2					1		19
ANTH 102A	Human Skeletal Biol	Emily A Schach	2023 Summer Quarter	2234	N	5	1		2	1		1	3						1							14
ANTH 103	Forensic Anthro	Emily A Schach	2023 Summer Quarter	2234	N		6	1	1	1			1													10
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2023 Summer Quarter	2234	N		4	6	3	3	5	7	2					5	3					2		40
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2023 Summer Quarter	2234	N	1	8	8	1	1	2				1			4						1		27
ART 20G	Intro Print/Draw	Bridget Mary Henry	2023 Summer Quarter	2234	N	1	6	3	4	3									1							18
ART 20J	Intro Draw/Paint	Susana Terrell	2023 Summer Quarter	2234	N	2	2	3										1	3	4				3		18
ART 20K	Intro New Media	Yolande Constance Harris	2023 Summer Quarter	2234	N	8	5	3	1	1	1	1								1				2		23
ART 80T	Digital Tools Art	Jennifer A Parker	2023 Summer Quarter	2234	N	8	32	3	5	1	6	2	1	1	1			14	2	9				8		93
ART 106O	2D Animation	Ann Amica Altstatt	2023 Summer Quarter	2234	N	7	10	20	7	9	5	5	4	1	1	1		9	4	3				9		95
ART 111	Figure Drawing	Noah Buchanan	2023 Summer Quarter	2234	N	1	13											1								15
ART 113	Illustrating Stories	Frank R Galuszka	2023 Summer Quarter	2234	N	6	2												2					1		11
ART 132	Figure Painting	Frank R Galuszka	2023 Summer Quarter	2234	N	12	8											1								21
ART 135	Digital Painting	Kathleen Marie Deck	2023 Summer Quarter	2234	N	68	31	24	8	7	3	3	2	3		2		14	6	8				2		181
ART 150	Darkroom Practices	John Jesse Chapman	2023 Summer Quarter	2234	N	2	7	4		1									1							15
ART 161J	Mokuhanga: Print Japan	Jimin Lee	2023 Summer Quarter	2234	N	2	11																			13
ART 183	Metal Fabrication	Sean M Monaghan	2023 Summer Quarter	2234	N		10	5											1							16
ART 186	Art and Globalization	Wendy Dee Hibbert-Jones	2023 Summer Quarter	2234	N		7	6	1																	14
ARTG 80I	Foundations of Play	Patrick Michael Ballard	2023 Summer Quarter	2234	N	3	3		2	3		2	1					1		1						16
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2023 Summer Quarter	2234	N	11	42	11	4	4	1		4					3	8	7				4		99
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2023 Summer Quarter	2234	N	2	15	9	2	4		1	1					9	3	5						51
ARTG 131	3D Game Art Prod	Eduard Joseph Gregor	2023 Summer Quarter	2234	N		31	3	5	1	3	1						11	3	9				3		70
ARTG 132	3D Character Rig	Eduard Joseph Gregor	2023 Summer Quarter	2234	N	10	19	6		1	5	2	1					9		3						56
ASTR 1	The Cosmos	Madelyn Broome	2023 Summer Quarter	2234	N	9	10	1	1		1		1			1	1		1							26
ASTR 2	Overview Universe	Miranda Apfel	2023 Summer Quarter	2234	N	20	8	8	3	1	1		1	1				4	11							58
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2023 Summer Quarter	2234	N	2	7	2	5	8	7		4					1								36
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2023 Summer Quarter	2234	N	3	2	1	2	4	5	11	6	4				1	2					1		42
BIOE 107	Ecology	Katie Marie Kobayashi	2023 Summer Quarter	2234	N	10	29	13	16	3	5	3	1	1		1	1	7		4				4		98
BIOE 109	Evolution	Daniel Buchanan Wright	2023 Summer Quarter	2234	N	12	22	11	11	23	8	4	3					2		2				1		99
BIOE 126	Biol Large Marine Vert	Allison Rae Payne	2023 Summer Quarter	2234	N	4	13	4		3	1							2	1	2				1		31
BIOE 129	Biol Marine Mammals	Ryan Alexander Jones	2023 Summer Quarter	2234	N	1	12	10	2	9	1		3	2		1		2								43
BIOE 129L	Marine Mammals Lab	Ryan Alexander Jones	2023 Summer Quarter	2234	N	3	11	6	1	5	1		1					1						1		30
BIOE 129L	Marine Mammals Lab	Ryan Alexander Jones	2023 Summer Quarter	2234	N	3	3	4		1	1															12
BIOE 131	Animal Physiology	Rita Mehta	2023 Summer Quarter	2234	N		23	6	4	2								1						1		37
BIOE 131L	Animal Physiolo Lab	Rita Mehta	2023 Summer Quarter	2234	N		13	3	1	1														1		19
BIOE 140	Behavioral Ecology	Pauline Rachel Blaimont	2023 Summer Quarter	2234	N	5	7	6	15	10	11	6	3	6				1	1					4		75
BIOE 142L	Behavior in the Wild	Louise Alissa De Morais	2023 Summer Quarter	2234	N	3	11	4		1	3	1						1						1		25
BIOE 157A	Evolution South Africa	Giacomo Bernardi	2023 Summer Quarter	2234	N	7	10	1																		18
BIOE 157B	Ichthyology South Afri	Giacomo Bernardi	2023 Summer Quarter	2234	N	9	8	1																		18
BIOE 158L	Marine Ecology Field	Nikolas John Kaplanis	2023 Summer Quarter	2234	N	2	3	2		1	2													1		11
BIOL 20A	Cell & Molecular Bi	John W Tamkun	2023 Summer Quarter	2234	N	1	4	2		2	1	2	9	2		3		1		1				1		29
BIOL 100	Biochemistry	Jeremy C Lee	2023 Summer Quarter	2234	N	1	2	3	2	2		1	4			3		4						1		23
BIOL 105	Genetics	Michael Jake Doody	2023 Summer Quarter	2234	N	1	3	5	4	4	6	3	7		3	1				1						38
BIOL 115L	Eukaryotc Molec Lab	James A Shanks	2023 Summer Quarter	2234	N		2	4	3	3	4															16
BIOL 189W	Human Biology DC	Michael Jake Doody	2023 Summer Quarter	2234	N	2	13	5		2																22
BIOL 189W	Human Biology DC	Michael Jake Doody	2023 Summer Quarter	2234	N	1	14	1	2	1																19
BME 185	Tech Writing Biomol	Dianne G Hendricks	2023 Summer Quarter	2234	N		17	1	1	2								2								23
BME 188C	SynthBio Research-C	David Lee Bernick	2023 Summer Quarter	2234	N	2	7	2	1	2																14
CHEM 1A	General Chemistry	John Manuel Diniz	2023 Summer Quarter	2234	N	11	13	6	5	11	6	6	10			6		4	3	2				5		88
CHEM 1B	General Chemistry	Jin Zhong Zhang	2023 Summer Quarter	2234	N	2	1	1	2	2	2	1						1								12
CHEM 1C	General Chemistry	Peter Scott Weiss	2023 Summer Quarter	2234	N	5	20	25	16	15	14	4	10			1		7	1					2		120
