Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 3	Precalculus	Giovanny Andre Marquez	2022 Winter Quarter	2220	N	40	21	11	4	1		1							3							81
AM 10	Math Methods I	Vanessa Jonsson	2022 Winter Quarter	2220	N	47	78	23	17	13	12	4	5	1	1	1		2		1				2		207
AM 11A	Math Methd for Econ	Bruno Silva Mendes	2022 Winter Quarter	2220	Y	2	5	11	24	6	8		5			4		8	1	2				1		77
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2022 Winter Quarter	2220	Y	12	29	16	18	26	9	8	7	2		2		1	10	4						144
AM 20	Math Methods II	Dongwook Lee	2022 Winter Quarter	2220	N	46	31	22	26	17	7	4	1			2		4	1	4				2		167
AM 112	Intro to PDEs	Marcella Gomez	2022 Winter Quarter	2220	Y	2	1	7	1																	11
AM 147	Comp Methods & App	Abhishek Halder	2022 Winter Quarter	2220	N	25	35	22	14	15	5	1	3					2	6					3		131
AM 212A	Applied PDEs	Marcella Gomez	2022 Winter Quarter	2220	Y	8	8	1	1	1			1					1								21
AM 213A	Numerical Linear Alg	Dongwook Lee	2022 Winter Quarter	2220	N	3	8	4	3	3						1					1	1				24
ANTH 3	Intro Archaeology	Tsim D Schneider	2022 Winter Quarter	2220	N	35	91		25	46		7	12		1	6		5	8	2				2		240
ANTH 102A	Human Skeletal Biol	Emily A Schach	2022 Winter Quarter	2220	N	7	4	4	1	1	2							1	5	1						26
ANTH 105	Human Paleopathology	Emily A Schach	2022 Winter Quarter	2220	N	12	41	1	2	11			3					1	1							72
ANTH 110W	Land & Waterscapes	Guillermo Delgado-P	2022 Winter Quarter	2220	N		24	5	2	1	2							1	1					3		39
ANTH 110Y	Feeding California	Kathryn Gougelet	2022 Winter Quarter	2220	N		19	6	8	1	2	3	1			3		1	3					1		48
ANTH 130O	Native Feminisms	Renya K Ramirez	2022 Winter Quarter	2220	N	17	22	15	3	4	3		1	1					1	1						68
ANTH 131	Gender in Culture	Renya K Ramirez	2022 Winter Quarter	2220	N	6	28	21	7	4				2				1						1		70
ANTH 152	CulturalAnthTheory	Andrew S. Mathews	2022 Winter Quarter	2220	Y		44	3	2	1		1	1					1	2	1				2		58
ANTH 158	Feminist Ethnography	Alejandra Letelier Kramer	2022 Winter Quarter	2220	N		33	2	4	1			1						4	1				1		47
ANTH 175	African Archaeology	Erendira M Quintana Morales	2022 Winter Quarter	2220	Y	1	11	10	9	4	4	1							1							41
ANTH 178	Historical Archaeol	James C Monroe	2022 Winter Quarter	2220	Y	1	5	3	3	8	4	3	2		1		2	2	3	2				3		42
ANTH 194X	Wom/Poli:3d Wor Per	Annapurna Devi Pandey	2022 Winter Quarter	2220	N		1	1	3	1		1	3											1		11
ANTH 196J	Imagining America	Jon D Daehnke	2022 Winter Quarter	2220	N		5	6	4										1							16
ANTH 196P	Disability	Megan Colleen Moodie	2022 Winter Quarter	2220	N		6	3		1	1		1					1	1	1						15
APLX 80	Intro Applied Ling	Josefina Bittar Prieto	2022 Winter Quarter	2220	N	19	7	4	3	1	1		1					2								38
APLX 101	L2 Acquisition	Donald Patrick Miller	2022 Winter Quarter	2220	N	4	8	6	1	3	1		1	1				1	1	1						28
APLX 103	L2 Speech	Mark Amengual	2022 Winter Quarter	2220	N	1	5	2		4										1						13
APLX 122	LingDiv&SocJustice	Julia Swan	2022 Winter Quarter	2220	N		4	2	1	3	1	1					1		3					1		17
ARBC 2	Arabic: First Year	Abdelkader Berrahmoun	2022 Winter Quarter	2220	N		10	1													2					13
ART 10D	2D Foundation	Kathleen Chris Perry	2022 Winter Quarter	2220	N	7	86	37	13	11	6	1	4			3		3	10	5				3		189
ART 20G	Intro Print/Draw	Enrique Martinez Leal	2022 Winter Quarter	2220	N		6		3	6	2	1				1		1	1	2						23
ART 20H	Intro Sculpt/Public	Sean M Monaghan	2022 Winter Quarter	2220	N		9	11	4	1														1		26
ART 20I	Intro Photography	Kathleen Chris Perry	2022 Winter Quarter	2220	N		6	5	2	2									4							19
ART 20J	Intro Draw/Paint	Melissa Gwyn	2022 Winter Quarter	2220	N		10	4	1											1						16
ART 80E	Enviro Art Expanded	Elizabeth Stephens	2022 Winter Quarter	2220	N	7	60	9	4	5		1	1	1					3	2				4		97
ART 80T	Digital Tools Art	Ann Amica Altstatt; Kathleen Marie Deck	2022 Winter Quarter	2220	N	106	46	31	15	21	19	7	12	3	3			9	11	6	1			1		291
ART 80T	Digital Tools Art	Ann Amica Altstatt; Kathleen Marie Deck	2022 Winter Quarter	2220	N	21	3	2	2	2	1							2	3	1				2		39
ART 106E	3D Model Animation	Elliot W Anderson	2022 Winter Quarter	2220	N		16	2	1	2														1		22
ART 108	Activate Media!	Elliot W Anderson	2022 Winter Quarter	2220	N	1	5	2		3								1								12
ART 119	Spec Topics Drawing	Sarah Sanford	2022 Winter Quarter	2220	N	1	7	3	4	6			1						2							24
ART 133	Abstract Painting	Frank R Galuszka	2022 Winter Quarter	2220	N	10	8	3	5	2																28
ART 156	Project Devlop Photo	Kathleen Chris Perry	2022 Winter Quarter	2220	N		6	2		1	1													1		11
ART 164A	Screenprinting	Sarah Sanford	2022 Winter Quarter	2220	N		6	7	3	2									1							19
ART 168	Photo-Based Print	Jimin Lee	2022 Winter Quarter	2220	N	1	10	1	1									1						1		15
ART 180B	Sculpture II	Jorge Mascarenhas Menna Barreto	2022 Winter Quarter	2220	N	5	8			3			1													17
ART 190A	Writing for Artists	Laurie Palmer	2022 Winter Quarter	2220	N	22	19	13	12	18	2	1	3					3	4	1				1		99
ARTG 80H	Crit His Digital Games	Mirek James Stolee	2022 Winter Quarter	2220	N	43	78	23	4	8	2	1						1	2					2		164
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2022 Winter Quarter	2220	N	26	81	11	2	2	2	1	3					7	22	9				3		169
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2022 Winter Quarter	2220	N	4	30	4		4			2					1	2	3						50
ARTG 137	Tabletop RPG Design	Elizabeth A Swensen	2022 Winter Quarter	2220	N	1	21	1																1		24
ARTG 142	Black Aesthetics	A.M. Darke	2022 Winter Quarter	2220	Y		7	1	2	2	2		1			1										16
ARTG 143	Ecofutures	micha cardenas	2022 Winter Quarter	2220	Y	2	6		2									3								13
ARTG 171	Game Design II	Elizabeth A Swensen; Kristen Ling Gillette	2022 Winter Quarter	2220	N	90	27	14			2								2							135
ASTR 1	The Cosmos	Nia Imara	2022 Winter Quarter	2220	N	44	56	45	15	22	4	7	4	1	3	1	1	2	11	2				2		220
ASTR 3	Planetary Systems	Ruth Murray-Clay	2022 Winter Quarter	2220	N	10	31	18	6	14	7	4	9	1	1	1		11	9	9				2		133
ASTR 112	Physics of Stars	Ryan Joseph Foley	2022 Winter Quarter	2220	N	3	2	2	2	2		1	1											2		15
ASTR 119	Intro Sci Computing	Adebusola B Alabi	2022 Winter Quarter	2220	N	6	12				1	1	1			2		1								24
ASTR 135	Astrophys Adv Lab	David M Smith	2022 Winter Quarter	2220	Y		2	2	3		1							1						1		10
ASTR 233	Galaxies & Cosmology I	Kevin A Bundy	2022 Winter Quarter	2220	N		6	1	1				1								4			1		14
BIOC 100B	Biochemistry	Michael D Stone	2022 Winter Quarter	2220	N	5	14	40	15	34	25	11	11			6		1		2						164
BIOC 163A	Quantum Mech/Spec BMB	William G Scott	2022 Winter Quarter	2220	N	5	22	6	1	2				1				3								40
BIOE 19	Biodiversity	Beth Alison Shapiro	2022 Winter Quarter	2220	N	1	15	6	2	4	3			1				2	1	2				1		38
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2022 Winter Quarter	2220	N		78	49	23	20	10	1	2			2		4								189
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2022 Winter Quarter	2220	N		14	15	6	12	1		4													52
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2022 Winter Quarter	2220	N	8	12	28	14	40	24	19	23		5	11		12	8	5				3		212
BIOE 82	Intro Field Res/Con	Andy John Kulikowski II II	2022 Winter Quarter	2220	N	17	3			1			1					1								23
BIOE 82	Intro Field Res/Con	Sean Bryant Reilly	2022 Winter Quarter	2220	N	12	9		1	1		1								1						25
BIOE 95	Seymour Ctr Docent	Rita Mehta	2022 Winter Quarter	2220	N	1	3	2											10	1						17
BIOE 107	Ecology	Laurel R Fox	2022 Winter Quarter	2220	N	12	15	5	10	13	5	8	9			2		4						1		84
BIOE 108	Marine Ecology	Kristy Jean Kroeker; Mark H Carr	2022 Winter Quarter	2220	Y	4	7	13	16	25	7	6	5			5		3	1	1				1		94
BIOE 109	Evolution	Suzanne Henson Alonzo	2022 Winter Quarter	2220	N	14	35	11	22	28	4	7	8					2								131
BIOE 117	Botany Flower Plnts	Julia Gardner Harencár; Miranda Kathleen Melen	2022 Winter Quarter	2220	N		21	7	7	11	1	1		1		1										50
BIOE 117L	Systemtc Botany Lab	Julia Gardner Harencár; Miranda Kathleen Melen	2022 Winter Quarter	2220	N		9	5	2	5	1	3														25
BIOE 117L	Systemtc Botany Lab	Julia Gardner Harencár; Miranda Kathleen Melen	2022 Winter Quarter	2220	N	1	9	3	2	5	2		1			1		1								25
BIOE 122	Invertebrat Zoology	Baldo Branimir Marinovic	2022 Winter Quarter	2220	N	1	7	9	3	16	14	16	15					2	1					1		85
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2022 Winter Quarter	2220	N	11	10	2																		23
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2022 Winter Quarter	2220	N	10	4	4	1	1	2							1								23
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2022 Winter Quarter	2220	N	3	7	5	3									1								19
BIOE 122L	Invertebrt Zool Lab	Baldo Branimir Marinovic	2022 Winter Quarter	2220	N	3	9	3	1	2	2													1		21
BIOE 125	Ecosystems of Calif	Timothy Michael Brown	2022 Winter Quarter	2220	Y	3	8	4	4	3			2													24
BIOE 133	Exercise Physiology	Terrie M Williams	2022 Winter Quarter	2220	N	11	14	9	7	6	4	2	1					2			1			1		58
BIOE 133L	Exercise Phys Lab	Terrie M Williams	2022 Winter Quarter	2220	N	20	1		3	2								3						1		30
