Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
THEA 117	Design Studio:Costume	Pamela Rodriguez-Montero	2023 Fall Quarter	2238	Y	18	2	2										1								23
THEA 126	Acting Studio III	Noah Aaron Charles Luce	2023 Fall Quarter	2238	N	24			2				1						1				1			29
THEA 151	Stdy Perform Drama	Rebecca Wear	2023 Fall Quarter	2238	N		6	1	1	3			1	1	1	1									1	16
THEA 161P	Chicano Power Movmnt	Kinan Valdez	2023 Fall Quarter	2238	Y	4	17	4	2	1	1			1				1	1							32
THEA 161R	Fighting Oppression	Robert John Gordon	2023 Fall Quarter	2238	Y	6	8	2	1				1											1		19
THEA 165	Dance Modernism	Cynthia Ling Lee	2023 Fall Quarter	2238	N	1	4	2	4			1						1	1							14
THEA 185	Senior Seminar	Michael M. Chemers	2023 Fall Quarter	2238	N	10	15	2		2	1	2	2					1	1							36
TIM 50	Business Inf System	Yihsu Chen	2023 Fall Quarter	2238	N	7	25	28	31	16	12	8	2	3		1		8	3	3				2		149
TIM 147	Data Mining for Bus	Yi Zhang	2023 Fall Quarter	2238	N		4	6		2	2	1							2	1						18
TIM 170	Mgmt of Tech Seminar	Subhas Desa	2023 Fall Quarter	2238	N	12	91	11	2				3					1	7	4				3		134
TIM 172A	Intro Mgmt of Tech I	Subhas Desa	2023 Fall Quarter	2238	N	14	51	24	10	16	5	1	6					1	3					2		133
TIM 172P	Mngmt Tech Project I	Subhas Desa	2023 Fall Quarter	2238	N			8	1	31	13	13	11													77
UCDC 194A	UCDC CoreSeminar	Daniel J Wirls	2023 Fall Quarter	2238	N		8	6											8							22
VAST 176	Law, Prisons, Pop Cltr	Gina Dent	2023 Fall Quarter	2238	Y		5	4	3	1										1						14
WRIT 1	Intro to Comp	Dina El Dessouky	2023 Fall Quarter	2238	N		3	1	1	1	1	2	1	2		1	3									16
WRIT 2	Rhetoric & Inquiry	Sarah Michals	2023 Fall Quarter	2238	N		10			9			2	1						1						23
WRIT 2	Rhetoric & Inquiry	Sarah Michals	2023 Fall Quarter	2238	N		17			1			1	1		1			3							24
WRIT 2	Rhetoric & Inquiry	Bettina Osborne	2023 Fall Quarter	2238	N	2	11	4	3		1							1	2	1						25
WRIT 2	Rhetoric & Inquiry	Madeline M Lane	2023 Fall Quarter	2238	N		7	12	4	1								1								25
WRIT 2	Rhetoric & Inquiry	Madeline M Lane	2023 Fall Quarter	2238	N		13	9	2										1							25
WRIT 2	Rhetoric & Inquiry	Taylor Joy Kirsch	2023 Fall Quarter	2238	N		14	1	7			1							1							24
WRIT 2	Rhetoric & Inquiry	Robin Y King	2023 Fall Quarter	2238	N		1	1	5	5	4		1				1		3	2						23
WRIT 2	Rhetoric & Inquiry	Robin Y King	2023 Fall Quarter	2238	N		1	3	1	4	3		3			1			7	1						24
WRIT 2	Rhetoric & Inquiry	Sondra Maria Archimedes	2023 Fall Quarter	2238	N	5	7	5		2	1							1	2							23
WRIT 2	Rhetoric & Inquiry	Roxanne P Hamilton	2023 Fall Quarter	2238	N		2	5	5	4	2		1						3							22
WRIT 2	Rhetoric & Inquiry	Toby H Loeffler	2023 Fall Quarter	2238	N		5	8	3	2	2	1							1	2				1		25
WRIT 2	Rhetoric & Inquiry	Susannah Alicia Carney-Waddy	2023 Fall Quarter	2238	N		8	6	4	1			1	1		1		1	1							24
WRIT 2	Rhetoric & Inquiry	Anthony Sebastian Breakspear	2023 Fall Quarter	2238	N		11	8	4																	23
WRIT 2	Rhetoric & Inquiry	Derede L Arthur	2023 Fall Quarter	2238	N	1	6	3	3	2	2		2													19
WRIT 2	Rhetoric & Inquiry	Tiffany Lynn Wong	2023 Fall Quarter	2238	N	5	7	2	3	1								2	3	1				1		25
WRIT 2	Rhetoric & Inquiry	Margaret Crane Amis	2023 Fall Quarter	2238	N	1	8	2	4		3		2	1		2			1	1						25
WRIT 2	Rhetoric & Inquiry	Margaret Crane Amis	2023 Fall Quarter	2238	N	1	7	2	1	1		1	1	6	2	1			1					1		25
WRIT 2	Rhetoric & Inquiry	Lara Ramos Galas	2023 Fall Quarter	2238	N	14	6	2	1				2													25
WRIT 2	Rhetoric & Inquiry	Daniel McKenna Joesten	2023 Fall Quarter	2238	N	18	1		4									1	1							25
WRIT 2	Rhetoric & Inquiry	Steven John Coulter	2023 Fall Quarter	2238	N	5	5	2	2	1									9							24
WRIT 2	Rhetoric & Inquiry	Steven John Coulter	2023 Fall Quarter	2238	N	6	4	6	1	4					1				2					1		25
WRIT 2	Rhetoric & Inquiry	Erica Louise Halk	2023 Fall Quarter	2238	N	3	13		5	2									1					1		25
WRIT 2	Rhetoric & Inquiry	Sylvane Vaccarino-Ruiz	2023 Fall Quarter	2238	N	4	9		3	6						2										24
WRIT 2	Rhetoric & Inquiry	Heather M Shearer	2023 Fall Quarter	2238	N	2	13	1	1	1	3	1	2						1							25
WRIT 2	Rhetoric & Inquiry	Heather M Shearer	2023 Fall Quarter	2238	N	2	12	2	1	1	2	1	1						1							23
WRIT 2	Rhetoric & Inquiry	Christopher K Garrecht-Williams	2023 Fall Quarter	2238	N	2	10	4	1	2	1	1	1			1			2							25
WRIT 2	Rhetoric & Inquiry	Sondra Maria Archimedes	2023 Fall Quarter	2238	N	4	14	4		1		1							1							25
WRIT 2	Rhetoric & Inquiry	Roxanne P Hamilton	2023 Fall Quarter	2238	N		3	7	6	3	1	1							2							23
WRIT 2	Rhetoric & Inquiry	Susannah Alicia Carney-Waddy	2023 Fall Quarter	2238	N		6	9	2	1	2						1	3		1						25
WRIT 2	Rhetoric & Inquiry	Anthony Sebastian Breakspear	2023 Fall Quarter	2238	N		10	9	4															1		24
WRIT 2	Rhetoric & Inquiry	Kae Roybal	2023 Fall Quarter	2238	N	10	6	2		1	2		2					1		1						25
WRIT 2	Rhetoric & Inquiry	Kae Roybal	2023 Fall Quarter	2238	N	3	11	4	2	1			1						1	1						24
WRIT 2	Rhetoric & Inquiry	Brij D Lunine	2023 Fall Quarter	2238	N		18	3		1			1	1						1						25
WRIT 2	Rhetoric & Inquiry	Brij D Lunine	2023 Fall Quarter	2238	N		18	4											2	1						25
WRIT 2	Rhetoric & Inquiry	Derede L Arthur	2023 Fall Quarter	2238	N		14	3	3				1					1								22
WRIT 2	Rhetoric & Inquiry	Daniel McKenna Joesten	2023 Fall Quarter	2238	N	17			7	1																25
WRIT 2	Rhetoric & Inquiry	Dev Bose	2023 Fall Quarter	2238	N		7	5	7	2	3			1												25
WRIT 2	Rhetoric & Inquiry	Tanner WouldGo	2023 Fall Quarter	2238	N		19		1	2				2												24
