Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Jonathan Rice Katznelson	2024 Spring Quarter	2242	N	53	42	22	20	39	29	33	25	4		2		8	2	4				4		287
AM 11A	Math Methd for Econ	Jelliffe Jackson	2024 Spring Quarter	2242	Y	4	4	4	5	10	3	4	11	2		1		1	2	1			1			53
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2024 Spring Quarter	2242	Y	6	8	7	9	13	7	12	25	2		3		1	4	1			1			99
AM 20	Math Methods II	Qi Gong	2024 Spring Quarter	2242	N	7	10	9	14	23	13	19	21			22		20	1	4			1	3		167
AM 30	SOE Calculus III	Javier Gonzalez-Rocha	2024 Spring Quarter	2242	N	51	17	11	6	1	2							3						5		96
AM 100	Math Methods III	Ashesh Chattopadhyay	2024 Spring Quarter	2242	N	13	6	3																1		23
AM 115	Stochastic Modeling	Vanessa Jonsson	2024 Spring Quarter	2242	Y	6	4	2	2		1		1													16
AM 148	GPU Programming	Steven Isaac Reeves	2024 Spring Quarter	2242	N		3			3			2					2		6	3	1	1	1		22
AM 170B	Math Model 2	Vanessa Jonsson	2024 Spring Quarter	2242	N	6	16	8	3	1	2		1	1			1							1		40
AM 213B	Num Mthds Diff Eq	Daniele Venturi	2024 Spring Quarter	2242	N	8	4	2													1	1				16
AM 250	Intro High Perf Comp	Nicholas H Brummell	2024 Spring Quarter	2242	N	1	4	1	2	2								1			1					12
ANTH 2	Intr Culturl Anthro	Andrew S. Mathews	2024 Spring Quarter	2242	N	112	60	22	6	4	3	2	2	3		2		4	14					1		235
ANTH 103	Forensic Anthro	Emily A Schach	2024 Spring Quarter	2242	N	8	12		2										1				2			25
ANTH 105	Human Paleopathology	Emily A Schach	2024 Spring Quarter	2242	N		32		9	11		2	7			2			4	1				2		70
ANTH 106	Primate Behavior	Viktoria Oelze	2024 Spring Quarter	2242	N	2	24	23	9	6	3	2	2	1	2				2	1						77
ANTH 107E	Lithic Technology	Joseph Reti	2024 Spring Quarter	2242	N	1	11	2	2	3													1	1		21
ANTH 110K	Cultur Through Food	Nancy N Chen	2024 Spring Quarter	2242	N		21	34	5	2									7	1						70
ANTH 110U	Piracy	Nidhi Mahajan	2024 Spring Quarter	2242	N	15	31	7					1						4							58
ANTH 125	Magic,Sci,Religion	Annapurna Devi Pandey	2024 Spring Quarter	2242	N		3	5	8	16	5	4	9					6	3	3			1			63
ANTH 130D	Israel-Palestine	Azrikam (Azri) Amram	2024 Spring Quarter	2242	N	21	11	7		1	1	1				1			1							44
ANTH 130F	Blackness In Motion	Savannah T Shange-Binion	2024 Spring Quarter	2242	Y	3	7	8	4	1	2	1							5							31
ANTH 131	Gender in Culture	Renya K Ramirez	2024 Spring Quarter	2242	N	4	38				3								4							49
ANTH 134	Intro Medical Anthro	Kathryn Gougelet	2024 Spring Quarter	2242	N	8	13	11	2		1	1							1					2		39
ANTH 151	Ethnography Wrkshop	Alejandra Letelier Kramer	2024 Spring Quarter	2242	N		15		1		1								1	1			2			21
ANTH 171	Mat/Methods His Arch	James C Monroe	2024 Spring Quarter	2242	N	1	3	3		2		2	1					1	2				3	1		19
ANTH 176A	No American Archlgy	David Allen Ingleman	2024 Spring Quarter	2242	N	6	7	14		6	4	6		1					3							47
ANTH 183	Anthropology GIS Lab	Carla Hernandez Garavito	2024 Spring Quarter	2242	N	1	3	4					1		1			1	2	2						15
ANTH 187B	Cultr Resource Mgmt	Jon D Daehnke	2024 Spring Quarter	2242	N		7	6	1	1	1	1						1	1				1	1		21
ANTH 194H	Paleoanthropology	Joseph Reti	2024 Spring Quarter	2242	N	1	4		3			1	2					3						1		15
APLX 101	L2 Acquisition	Christian Ruvalcaba	2024 Spring Quarter	2242	N	2	6	6	2	1	1		2		1				2	1	1			1		26
APLX 135	Second Lang Teach	Eve C Zyzik	2024 Spring Quarter	2242	Y		20	3	2	1		1														27
APLX 190	Research Sem APLX	Donald Patrick Miller	2024 Spring Quarter	2242	N	4	1	1	2		4													1		13
ARBC 3	Arabic: First Year	Abdelkader Berrahmoun	2024 Spring Quarter	2242	N		14	1																1		16
ART 10F	4D Foundation	Wes Modes	2024 Spring Quarter	2242	N	94	14	15	4	6	2	3	2	1	2	2		4	3	2			3	3		160
