Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 3	Precalculus	Jelliffe Jackson	2023 Winter Quarter	2230	N	4	20	15	14	9	5	1	3	1		2			4					1		79
AM 10	Math Methods I	Jelliffe Jackson	2023 Winter Quarter	2230	N	29	58	38	24	20	14	11	16	2				1		4				4		221
AM 11A	Math Methd for Econ	Jonathan Rice Katznelson	2023 Winter Quarter	2230	Y	5	6	7	4	7	3	2	15	6		2		1	1	4				2		65
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2023 Winter Quarter	2230	Y	3	11	7	8	14	5	5	18	14		7		10	8	13				5		128
AM 20	Math Methods II	Long Kim Lu	2023 Winter Quarter	2230	N	25	29	29	23	35	5	14	5			1		3	1					2		172
AM 107	IntroFluidDynamics	Nicholas H Brummell	2023 Winter Quarter	2230	Y	2	8	1																		11
AM 112	Intro to PDEs	Hongyun Wang	2023 Winter Quarter	2230	Y	5	5	5	3	1	6	3	1	1				6	1	2						39
AM 147	Comp Methods & App	Abhishek Halder	2023 Winter Quarter	2230	N	16	20	33	24	14	15	5	5						3		2			1		138
AM 170A	Math Modeling 1	Pascale Garaud	2023 Winter Quarter	2230	N	3	6	8	7							3										27
AM 212A	Applied PDEs	Hongyun Wang	2023 Winter Quarter	2230	Y	5	3	3	3	1	3									1						19
AM 213A	Numerical Linear Alg	Dongwook Lee	2023 Winter Quarter	2230	N	4	3	4	4	1	1					1					1					19
AM 217	Intro Fluid Dynamics	Nicholas H Brummell	2023 Winter Quarter	2230	Y	2	3						1								3	1				10
AM 280B	Applied Math Model	Vanessa Jonsson	2023 Winter Quarter	2230	N		6														5					11
ANTH 3	Intro Archaeology	Tsim D Schneider	2023 Winter Quarter	2230	N	37	106		33	37	1	10	9			3		2	7							245
ANTH 101	Human Evolution	Emily A Schach	2023 Winter Quarter	2230	N	5	29	3	12	26		1	3		1	1		3	4	2						90
ANTH 102A	Human Skeletal Biol	Emily A Schach	2023 Winter Quarter	2230	N	12	1	3	2	2	1		1			1								2		25
ANTH 107B	Stable Isotope Lab	Viktoria Oelze	2023 Winter Quarter	2230	N		10	3											2							15
ANTH 110G	Westside Stories	Savannah T Shange-Binion	2023 Winter Quarter	2230	Y	4	4	8	2	2	1							1	11					1		34
ANTH 110P	India Diaspora Film	Annapurna Devi Pandey	2023 Winter Quarter	2230	N		3	5	8	8	1	1	2					5	2							35
ANTH 110T	Motherhood	Megan Colleen Moodie	2023 Winter Quarter	2230	N	3	13	12	5	12	2		4	3	1			1	7	4				4		71
ANTH 130O	Native Feminisms	Renya K Ramirez	2023 Winter Quarter	2230	N	6	18	20	1									1	2							48
ANTH 130U	Central America	Mark D Anderson	2023 Winter Quarter	2230	N	1	20	7	4	4	1	1						1						2		41
ANTH 134	Intro Medical Anthro	Ashwak Sam Hauter	2023 Winter Quarter	2230	N	2	33	8	3	5	1			1				2	4	1				3		63
ANTH 152	CulturalAnthTheory	Mark D Anderson	2023 Winter Quarter	2230	Y		19	4	7	9			2							2						43
ANTH 157	Modernity/Others	Mayanthi L Fernando	2023 Winter Quarter	2230	N		10	12	9	5	4	1	5			1		4	8	2				2		63
ANTH 158	Feminist Ethnography	Alejandra Letelier Kramer	2023 Winter Quarter	2230	N	2	21	5	3	2								2	3					1		39
ANTH 178	Historical Archaeol	James C Monroe	2023 Winter Quarter	2230	N	1	4	4	5	1	3	2	2		1			5		1				1		30
ANTH 196G	Queer Worlds	Savannah T Shange-Binion	2023 Winter Quarter	2230	Y	3	7	2	2									2	2							18
ANTH 196J	Imagining America	Jon D Daehnke	2023 Winter Quarter	2230	N		3	4	8	1																16
ANTH 196K	Settler Colonialism	Renya K Ramirez	2023 Winter Quarter	2230	N	9	5	1										1								16
ANTH 233	Politics of Nature	Andrew S. Mathews	2023 Winter Quarter	2230	N		1														9	2				12
APLX 80	Intro Applied Ling	Eve C Zyzik	2023 Winter Quarter	2230	N		18	7	1	7	1	1				1										36
APLX 101	L2 Acquisition	Donald Patrick Miller	2023 Winter Quarter	2230	N	4	6	5		2	1	2				1		1	1					1		24
APLX 115	Language and Power	Christian Ruvalcaba	2023 Winter Quarter	2230	N	2	5	3										1								11
ARBC 2	Arabic: First Year	Abdelkader Berrahmoun	2023 Winter Quarter	2230	N		6	3	3										1		2					15
ART 10D	2D Foundation	Sarah Sanford	2023 Winter Quarter	2230	N	21	128	47	14	27	6	3	10	1		3	1	4	12	1				2		280
ART 20H	Intro Sculpt/Public	Sean M Monaghan	2023 Winter Quarter	2230	N		10	12	2			1						2								27
ART 20J	Intro Draw/Paint	Grant Whipple	2023 Winter Quarter	2230	N		8	11	1	2	1	1														24
ART 20K	Intro New Media	Cláudio Bueno	2023 Winter Quarter	2230	N	2	13			5			1					1		1						23
ART 80T	Digital Tools Art	Jennifer A Parker	2023 Winter Quarter	2230	N	81	115	53	19	30	25	12	21	2	4	3	4	22	11	6	1			7		416
ART 80T	Digital Tools Art	Jennifer A Parker	2023 Winter Quarter	2230	N	7	2	6		2	1				1				2							21
ART 106E	3D Model Animation	Elliot W Anderson	2023 Winter Quarter	2230	N		11	4	1	2	1		2													21
ART 106G	Immersive Nonfiction	Elliot W Anderson	2023 Winter Quarter	2230	N		10											2								12
ART 108	Activate Media!	Cláudio Bueno	2023 Winter Quarter	2230	N		8													1				1		10
ART 125	Enviro Art Studio	Ann Amica Altstatt	2023 Winter Quarter	2230	N	1	6	8	7	2								1								25
ART 133	Abstract Painting	Grant Whipple	2023 Winter Quarter	2230	N		12	5	5	3	2		1													28
ART 152A	Photographic Book	Kathleen Chris Perry	2023 Winter Quarter	2230	N	1	6	4		1																12
ART 156	Project Devlop Photo	Kathleen Chris Perry	2023 Winter Quarter	2230	N		8	3		1																12
ART 164A	Screenprinting	Sarah Sanford	2023 Winter Quarter	2230	N		12	3		4																19
ART 168	Photo-Based Print	Jimin Lee	2023 Winter Quarter	2230	N		20	2										2								24
ART 181	Art Power & Politics	Wendy Dee Hibbert-Jones	2023 Winter Quarter	2230	N	2	8	6	1																	17
ART 190A	Writing for Artists	Laurie Palmer	2023 Winter Quarter	2230	N		16	15	17	41	5	4		1		3			8							110
ARTG 80G	Vis Com Interaction	dani wright	2023 Winter Quarter	2230	N	129													3					1		133
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2023 Winter Quarter	2230	N	6	40	5	3				4					4	2	4				1		69
ARTG 129	Spec Topic Game Des	Kristen Ling Gillette	2023 Winter Quarter	2230	N	8	25	3		1	1		1					1	3					1		44
ARTG 129	Spec Topic Game Des	Elizabeth A Swensen	2023 Winter Quarter	2230	N	22	3	2				1														28
ARTG 134	Spectacular Play	Patrick Michael Ballard	2023 Winter Quarter	2230	N	10	12	1	1	5			1													30
ARTG 171	Game Design II	Kristen Ling Gillette	2023 Winter Quarter	2230	N	2	13	2	3	1	2	1						1	3							28
ARTG 171	Game Design II	Tamara Madeleine Duplantis	2023 Winter Quarter	2230	N		83	5	4	1		1														94
ASTR 6	Space-Age Solr Sysm	Graeme H Smith	2023 Winter Quarter	2230	N	10	31	11	14	19	2	3	1	2				2	12	1		1				109
