Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Jonathan Rice Katznelson	2022 Fall Quarter	2228	N	14	73	37	18	28	11	6	13	3		4		1	3					2		213
AM 11A	Math Methd for Econ	Qi Gong	2022 Fall Quarter	2228	Y	9	21	13	17	15	6	6	3					2	1	1						94
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2022 Fall Quarter	2228	Y	3	33	25	26	21	12	13	13	3		1		1	3	10				3		167
AM 30	SOE Calculus III	Pascale Garaud	2022 Fall Quarter	2228	N	7	4	3	8	6	4	2	1			9			1	1				1		47
AM 100	Math Methods III	Hongyun Wang	2022 Fall Quarter	2228	N	8	7	9	3	4	10	5	5					2								53
AM 114	Intro Dynam Systems	Pascale Garaud	2022 Fall Quarter	2228	Y	1	3	6	11	3	3	6	1			8			4	3				2		51
AM 129	Foundtns Sci Comput	Dongwook Lee; Ian May	2022 Fall Quarter	2228	N	16	12	1	1	2	2	6	4			4		5			1			2		56
AM 214	Applied Dynamic Sys	Pascale Garaud	2022 Fall Quarter	2228	Y	4	10	4	2	4	1										1					26
AM 229	Convex Optimization	Abhishek Halder	2022 Fall Quarter	2228	N	9	1	1	1												14	1				27
ANTH 1	Intro Biolog Anth	Emily A Schach	2022 Fall Quarter	2228	N	21	129	37	20	18	4	4	3					1	2	2				2		243
ANTH 89	Fdns4Global&CommHealth	Grant A Hartzog; Matthew B Sparke	2022 Fall Quarter	2228	Y	14	20	13	12	7	4	4		6			1	4		2				3		90
ANTH 104	Human Var and Adapt	kalina kassadjikova	2022 Fall Quarter	2228	N	1	29	3	4	5			2													44
ANTH 110A	Contemporary Issues	Alejandra Letelier Kramer	2022 Fall Quarter	2228	N	2	17	9	8	5	2	1				1								1		46
ANTH 110F	Evolution Human Diet	Viktoria Oelze	2022 Fall Quarter	2228	N	77	10	6	1	2	2	1			1				2							102
ANTH 110Y	Feeding California	Alison Kristine Hanson	2022 Fall Quarter	2228	N	2	11	5	6	5	1	1					1		1	1						34
ANTH 126	Contraband	Nidhi Mahajan	2022 Fall Quarter	2228	N	5	35												2							42
ANTH 130E	Culture/Polit/SE Asia	Gillian Hope Bogart	2022 Fall Quarter	2228	N	6	5	3	4	6	8	1	2						4							39
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2022 Fall Quarter	2228	N	3	10	7	2	4	3		2		1				2							34
ANTH 145X	Socio-Cultural Anth	Darcey Nicole Evans	2022 Fall Quarter	2228	N		35			4			1					1								41
ANTH 147	Anthropocene	Anna L Tsing	2022 Fall Quarter	2228	N		4	12	4	5	1	4	3		1				3					1		38
ANTH 150	Communicating Anth	Renya K Ramirez	2022 Fall Quarter	2228	N	11	11	1	2		1		2											1		29
ANTH 170	His Archaeol Theory	Erendira M Quintana Morales	2022 Fall Quarter	2228	N		4	5	4	2	2	1	2							1				1		22
ANTH 176D	ColonialEncountrsAmer	Carla Hernandez Garavito	2022 Fall Quarter	2228	N	12	10	8	1		2	1														34
ANTH 179	Slavery in Atlantic	Gregory O'Malley; James C Monroe	2022 Fall Quarter	2228	Y	1	3	3	3	3	3		5		1			1	2	2						27
ANTH 194K	Reading Ethnograph	Nidhi Mahajan	2022 Fall Quarter	2228	N	1	10		1																	12
ANTH 196O	Gender and Politics	Alejandra Letelier Kramer	2022 Fall Quarter	2228	N		9	3	1	1	1															15
ANTH 243	Cultures/Capitalism	Mark D Anderson	2022 Fall Quarter	2228	N		2														10					12
APLX 80	Intro Applied Ling	Josefina Bittar Prieto	2022 Fall Quarter	2228	N	13	6	1		2			1			1		3								27
APLX 113	Inter-Cultural Comm	Zsuzsanna Abrams	2022 Fall Quarter	2228	N	8	16	6			3	1						1								35
APLX 138	English Grammar TESOL	Donald Patrick Miller	2022 Fall Quarter	2228	N	6	6	1	2	1	1		1						2	1	1					22
ARBC 1	Arabic: First Year	Abdelkader Berrahmoun	2022 Fall Quarter	2228	N		20	2	1										1	1	2					27
ARBC 4	Arabic: Second Year	Abdelkader Berrahmoun	2022 Fall Quarter	2228	N		8													1	3					12
ART 10E	3D Foundation	Kathleen Chris Perry	2022 Fall Quarter	2228	N		33	91	50	26	10		2			3		5	5	2						227
ART 20G	Intro Print/Draw	Enrique Martinez Leal	2022 Fall Quarter	2228	N	1	4	5	4	2	3	1	1			2				1						24
ART 20I	Intro Photography	Karolina Karlic	2022 Fall Quarter	2228	N	11	12												1							24
ART 20J	Intro Draw/Paint	Melissa Gwyn	2022 Fall Quarter	2228	N		15	4	1	1	1		1													23
ART 20L	Intro to Drawing	Grant Whipple	2022 Fall Quarter	2228	N		33	35	18	12	4	2	6	1	2	1		9	9	5				7		144
ART 101	Computer Prog Arts	Wes Modes	2022 Fall Quarter	2228	N		60	3	4	6	2	1	1			1		2	5					1		86
ART 106C	StopMotionAnimation	Elliot W Anderson	2022 Fall Quarter	2228	N		16	3	2	1								4								26
ART 106O	2D Animation	Ann Amica Altstatt	2022 Fall Quarter	2228	N	38	54	39	12	15	11	4	3	1				4	9	4				6		200
ART 119	Spec Topics Drawing	Grant Whipple	2022 Fall Quarter	2228	N		13	2	2	2	1															20
ART 125	Enviro Art Studio	Edward A. Shanken	2022 Fall Quarter	2228	N	1	12	3	2	1	2								2	1						24
ART 130	Interm/Adv Painting	Melissa Gwyn	2022 Fall Quarter	2228	N		14	3	3	6																26
ART 150	Darkroom Practices	Kathleen Chris Perry	2022 Fall Quarter	2228	N		5	4	6									2								17
ART 157	Arts Field Research	John Jesse Chapman; Norman Locks	2022 Fall Quarter	2228	N	2	8																			10
ART 162A	Intaglio I	Sarah Sanford	2022 Fall Quarter	2228	N		10	3	1	1		1				1								1		18
ART 163A	Lithography I	Ann Amica Altstatt	2022 Fall Quarter	2228	N	4	3	7	4	2								1		1						22
ART 184	3D ArtDesign I	Jennifer A Parker	2022 Fall Quarter	2228	N		15	1	2	3	2	1														24
ART 194	Forms and Ideas	Cláudio Bueno	2022 Fall Quarter	2228	N		2	11		1	1							1						1		17
ARTG 80I	Foundations of Play	Patrick Michael Ballard	2022 Fall Quarter	2228	N	10	66	4	3				1													84
ARTG 91	Intro Game Art Prod	Kristen Ling Gillette	2022 Fall Quarter	2228	N	10	98	20	7	6	2	2	3					3	12	7				4		174
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2022 Fall Quarter	2228	N	8	32	2		1	1	1	1	1		1		1	3	1						53
