Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
AM 10	Math Methods I	Marcella Gomez	2020 Spring Quarter	2202	N	124	62	26	11	8	4	1			1		1	1	2					2		243
AM 11A	Math Methd for Econ	Jonathan Rice Katznelson	2020 Spring Quarter	2202	Y	13	13	4	4	5		3	4			1		1	7	1						56
AM 11B	Math Methds Econ II	Jonathan Rice Katznelson	2020 Spring Quarter	2202	Y	17	22	17	11	10	4	8	8	2		2		6	8	2				2		119
AM 20	Math Methods II	Abhishek Halder	2020 Spring Quarter	2202	N	22	37	26	25	19	10	10	1					1	4	2				4		161
AM 148	GPU Programming	Steven Isaac Reeves	2020 Spring Quarter	2202	N		7			6								2	2	2	1			3		23
AM 231	Nonlinear Control	Abhishek Halder	2020 Spring Quarter	2202	N	4	2														5					11
AM 250	Intro High Perf Comp	Nicholas H Brummell	2020 Spring Quarter	2202	N	8	2												1		2	1				14
ANTH 2	Intr Culturl Anthro	Melissa L Caldwell	2020 Spring Quarter	2202	N	6	66	18	42	60	16	1	13		3	1		6	61	8				2		303
ANTH 101	Human Evolution	Emily A Schach	2020 Spring Quarter	2202	N	14	38		5	10			2						4							73
ANTH 103	Forensic Anthro	Eden Lee Washburn	2020 Spring Quarter	2202	N	2	7	7	3		1													2		22
ANTH 103I	Forensic Anth	Cristina Verdugo	2020 Spring Quarter	2202	N	3	2	6	5			3						4						2		25
ANTH 106	Primate Behavior	Viktoria Oelze	2020 Spring Quarter	2202	N	23	24	15	7	10	4	2	3	1					3	2						94
ANTH 110C	California Pasts	Tsim D Schneider	2020 Spring Quarter	2202	Y	10	14		5	3			1						1	1						35
ANTH 110I	SustainbilitySocJust	David Michael Shaw	2020 Spring Quarter	2202	N		3	6	4		1		1					2	9	1				2		29
ANTH 110S	Evolution/Democracy	Alejandra Letelier Kramer	2020 Spring Quarter	2202	N	1	26	4	2	3	3		3					1	3							46
ANTH 110Y	Feeding California	Krisha Jean Hernandez	2020 Spring Quarter	2202	N	17	2	3	5	1								1	4					3		36
